,Similarity,Representations,Measure,Rep_Mea,Domain
0,0.006633321684416512,Term distribution,jensen-shannon,Term jensen-shannon,InDomain
1,0.7332519036138218,Term distribution,renyi,Term renyi,InDomain
2,0.00033290945563990704,Term distribution,cosine,Term cosine,InDomain
3,0.0026372277729693468,Term distribution,euclidean,Term euclidean,InDomain
4,0.08277996471745032,Term distribution,variational,Term variational,InDomain
5,0.007900293508553707,Term distribution,bhattacharyya,Term bhattacharyya,InDomain
6,0.0003659365465864539,Topic distribution,jensen-shannon,Topic jensen-shannon,InDomain
7,0.005913567669399069,Topic distribution,renyi,Topic renyi,InDomain
8,0.0011199116706848145,Topic distribution,cosine,Topic cosine,InDomain
9,0.0082090208229159,Topic distribution,euclidean,Topic euclidean,InDomain
10,0.040161583572626114,Topic distribution,variational,Topic variational,InDomain
11,0.0003886978083755821,Topic distribution,bhattacharyya,Topic bhattacharyya,InDomain
12,0.02230933678625818,Term distribution,jensen-shannon,Term jensen-shannon,OOD1
13,2.2629357130447456,Term distribution,renyi,Term renyi,OOD1
14,0.0071705025168310454,Term distribution,cosine,Term cosine,OOD1
15,0.01217327436456487,Term distribution,euclidean,Term euclidean,OOD1
16,0.2090243340056686,Term distribution,variational,Term variational,OOD1
17,0.027026971604264368,Term distribution,bhattacharyya,Term bhattacharyya,OOD1
18,0.011324441060423851,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1
19,0.049415558334181986,Topic distribution,renyi,Topic renyi,OOD1
20,0.04861658811569214,Topic distribution,cosine,Topic cosine,OOD1
21,0.06271635913355039,Topic distribution,euclidean,Topic euclidean,OOD1
22,0.2663535475730896,Topic distribution,variational,Topic variational,OOD1
23,0.011444782838225365,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1
24,0.02565754264082551,Term distribution,jensen-shannon,Term jensen-shannon,OOD2
25,2.6095829132176034,Term distribution,renyi,Term renyi,OOD2
26,0.01896679034676574,Term distribution,cosine,Term cosine,OOD2
27,0.02073728089996183,Term distribution,euclidean,Term euclidean,OOD2
28,0.25464210168579227,Term distribution,variational,Term variational,OOD2
29,0.030673553321199573,Term distribution,bhattacharyya,Term bhattacharyya,OOD2
30,0.014667071402072906,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2
31,0.06171453892524685,Topic distribution,renyi,Topic renyi,OOD2
32,0.06394451856613159,Topic distribution,cosine,Topic cosine,OOD2
33,0.0743389287336848,Topic distribution,euclidean,Topic euclidean,OOD2
34,0.3074391484260559,Topic distribution,variational,Topic variational,OOD2
35,0.01485920138657093,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2
