,Similarity,Representations,Measure,Rep_Mea,Domain
0,0.002627725275809521,Term distribution,jensen-shannon,Term jensen-shannon,InDomain
1,0.2678802235115267,Term distribution,renyi,Term renyi,InDomain
2,4.7103168858142475e-05,Term distribution,cosine,Term cosine,InDomain
3,0.0010056933818193936,Term distribution,euclidean,Term euclidean,InDomain
4,0.04635708379854783,Term distribution,variational,Term variational,InDomain
5,0.0030772151104852927,Term distribution,bhattacharyya,Term bhattacharyya,InDomain
6,0.0003926072968170047,Topic distribution,jensen-shannon,Topic jensen-shannon,InDomain
7,0.013716136286729954,Topic distribution,renyi,Topic renyi,InDomain
8,0.0009252429008483887,Topic distribution,cosine,Topic cosine,InDomain
9,0.007508057976761496,Topic distribution,euclidean,Topic euclidean,InDomain
10,0.04112948104739189,Topic distribution,variational,Topic variational,InDomain
11,0.000452561245765537,Topic distribution,bhattacharyya,Topic bhattacharyya,InDomain
12,0.005675481280231751,Term distribution,jensen-shannon,Term jensen-shannon,OOD1
13,0.5408357344416983,Term distribution,renyi,Term renyi,OOD1
14,0.0021214843041169607,Term distribution,cosine,Term cosine,OOD1
15,0.006832367192975041,Term distribution,euclidean,Term euclidean,OOD1
16,0.10275584330224308,Term distribution,variational,Term variational,OOD1
17,0.006601629391864174,Term distribution,bhattacharyya,Term bhattacharyya,OOD1
18,0.0033503766171634197,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1
19,0.0253003276630381,Topic distribution,renyi,Topic renyi,OOD1
20,0.015824735164642334,Topic distribution,cosine,Topic cosine,OOD1
21,0.03225085439723805,Topic distribution,euclidean,Topic euclidean,OOD1
22,0.13721993565559387,Topic distribution,variational,Topic variational,OOD1
23,0.0034174234606325626,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1
24,0.006440082774865134,Term distribution,jensen-shannon,Term jensen-shannon,OOD2
25,0.5977748572204218,Term distribution,renyi,Term renyi,OOD2
26,0.002762334733205085,Term distribution,cosine,Term cosine,OOD2
27,0.007786977448368624,Term distribution,euclidean,Term euclidean,OOD2
28,0.11638747392718198,Term distribution,variational,Term variational,OOD2
29,0.007467388052140084,Term distribution,bhattacharyya,Term bhattacharyya,OOD2
30,0.0028942814096808434,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2
31,0.023540072500792725,Topic distribution,renyi,Topic renyi,OOD2
32,0.012237608432769775,Topic distribution,cosine,Topic cosine,OOD2
33,0.02782803466461097,Topic distribution,euclidean,Topic euclidean,OOD2
34,0.13095086812973022,Topic distribution,variational,Topic variational,OOD2
35,0.002959453733637929,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2
