Rationales_metrics,random,scaled attention,attention,deeplift,gradients,lime,Domain,thresholder
Sufficiency,0.21253854981620102,0.584095465319677,0.362318124709744,0.191841188099576,0.343036566129912,0.181762957374761,Full,topk
Comprehensiveness,0.239226452177132,0.539328775372868,0.34702235962966005,0.18943474879385502,0.302651675056471,0.205689243960642,Full,topk
AOPC_sufficiency,0.183062264485943,0.40116806901467206,0.26104509873047105,0.159552436498652,0.25563668675266504,0.164412210541692,Full,topk
AOPC_comprehensiveness,0.20176557708855403,0.42470517110613004,0.260491510486735,0.14702221947462701,0.248703124036381,0.176244492904531,Full,topk
Sufficiency,0.29345030317144605,0.8090483530232401,0.5002328964720371,0.28870107635330905,0.349650198691667,0.28164966585418505,InDomain,topk
Comprehensiveness,0.213664321054915,0.67412747568914,0.340652436711246,0.201997783261082,0.265177070869469,0.19633798792079202,InDomain,topk
AOPC_sufficiency,0.25227866214890704,0.573217352911582,0.32248032276348104,0.25245399516049705,0.276847890151567,0.239612347220878,InDomain,topk
AOPC_comprehensiveness,0.189702656445137,0.49465039356218005,0.24489228742770203,0.193719444104915,0.22548110214576803,0.175554124601177,InDomain,topk
Sufficiency,0.309634912213339,0.7963006198314531,0.45659199130731604,0.272070415773006,0.38677334208346503,0.300445583993846,OOD1,topk
Comprehensiveness,0.21052918074398103,0.648210365394847,0.300752932635766,0.180118862034955,0.275292882688045,0.20440603008531502,OOD1,topk
AOPC_sufficiency,0.267807551175103,0.573673559207531,0.31236567005952903,0.245399417142828,0.31109789419377504,0.25670720754935,OOD1,topk
AOPC_comprehensiveness,0.18743488373403203,0.48284410447920706,0.22272295479007,0.17418245850753603,0.235703659166863,0.182080722647559,OOD1,topk
Sufficiency,0.30586245059597,0.789260397926787,0.46047416347157405,0.27617871578575504,0.377071261470495,0.29280365299833905,OOD2,topk
Comprehensiveness,0.21625220800525702,0.6489454299718861,0.310022230130784,0.18965927384004003,0.28393391885920505,0.20858742678340403,OOD2,topk
AOPC_sufficiency,0.264953663166403,0.566732770702787,0.31465634309997903,0.24867765472538303,0.30490024353884804,0.251291306609286,OOD2,topk
AOPC_comprehensiveness,0.191183879106735,0.483781730946216,0.22841729227066002,0.18056653895976002,0.24062602230653202,0.184915703102632,OOD2,topk
Sufficiency,0.21253854981620102,0.584095465319677,0.362318124709744,0.191841188099576,0.343036566129912,0.181762957374761,Full,contigious
Comprehensiveness,0.239226452177132,0.539328775372868,0.34702235962966005,0.18943474879385502,0.302651675056471,0.205689243960642,Full,contigious
AOPC_sufficiency,0.183062264485943,0.40116806901467206,0.26104509873047105,0.159552436498652,0.25563668675266504,0.164412210541692,Full,contigious
AOPC_comprehensiveness,0.20176557708855403,0.42470517110613004,0.260491510486735,0.14702221947462701,0.248703124036381,0.176244492904531,Full,contigious
Sufficiency,0.366604634292904,0.7735179289370071,0.40415415643072505,0.35579242924866605,0.48198554242220404,0.353576870366476,InDomain,contigious
Comprehensiveness,0.16652324836588903,0.42964510095295405,0.16109180425341102,0.13842698856698601,0.19115651561271102,0.158604762188323,InDomain,contigious
AOPC_sufficiency,0.285888336736882,0.5545221483400521,0.295079282182435,0.271641926698624,0.356101368770112,0.28222573318391503,InDomain,contigious
AOPC_comprehensiveness,0.14361156872368,0.34726198328851,0.127213902923199,0.109840094826661,0.160042201789094,0.13755461817595901,InDomain,contigious
Sufficiency,0.36601945556645904,0.7701251472918731,0.34542951669682503,0.312399556886166,0.48564200944332403,0.35516896408262505,OOD1,contigious
Comprehensiveness,0.173278228012542,0.44442615857528306,0.13915342597528702,0.130512496002873,0.20785750129913103,0.170189295219933,OOD1,contigious
AOPC_sufficiency,0.289239353224232,0.5585108696859491,0.262673836782224,0.247667173144749,0.3658485914008,0.28890089239014205,OOD1,contigious
AOPC_comprehensiveness,0.15049828345029,0.36080280889242605,0.10976911310461901,0.100112685268104,0.17457975808822102,0.14725270999991102,OOD1,contigious
Sufficiency,0.30586245059597,0.789260397926787,0.46047416347157405,0.27617871578575504,0.377071261470495,0.29280365299833905,OOD2,contigious
Comprehensiveness,0.21625220800525702,0.6489454299718861,0.310022230130784,0.18965927384004003,0.28393391885920505,0.20858742678340403,OOD2,contigious
AOPC_sufficiency,0.264953663166403,0.566732770702787,0.31465634309997903,0.24867765472538303,0.30490024353884804,0.251291306609286,OOD2,contigious
AOPC_comprehensiveness,0.191183879106735,0.483781730946216,0.22841729227066002,0.18056653895976002,0.24062602230653202,0.184915703102632,OOD2,contigious
