,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,Domain,attribute_name,threshold
0,0.8903858731196861,0.002170655233855,0.49035876663837,0.019026054266372,0.037687989589684,0.007611921102663,Full,gradients,topk
1,0.8913965993314921,0.0021073019653370002,0.49193574086941805,0.026503901835961,0.033050913617822,0.014791015893799001,SynD,gradients,topk
2,0.8765496693554241,0.000987231026683,0.474958939867745,0.026025317603573003,0.045115839664035005,0.016243493523825002,AsyD1,gradients,topk
3,0.8838020492696751,0.0014262417470060002,0.47421997374409,0.027965674837110002,0.043199356597537,0.015842392650805,AsyD2,gradients,topk
0,0.9229561805101371,0.0006173028292010001,0.6861943686343981,0.0018996856947490002,0.053764612980424,0.0017207153260880002,Full,deeplift,topk
1,0.887283825025432,0.006042278254991,0.5421323135344001,0.013559441804522001,0.069363157635008,0.00488944282055,SynD,deeplift,topk
2,0.869675168955744,0.006103619240737001,0.522778407039725,0.009393227557691002,0.08431815557871,0.00696651780833,AsyD1,deeplift,topk
3,0.8741661216481361,0.006108981077046,0.51024584376097,0.0065483330900260005,0.081878096773981,0.006492409272507001,AsyD2,deeplift,topk
0,0.9148608386018461,0.0015851869142570001,0.6615195165479111,0.004977163551561001,0.05376865889052201,0.00202278316256,Full,scaled attention,topk
1,0.9029210870513,0.002261235718045,0.6222632914914871,0.009879598999125001,0.050252896241974,0.007281795834345001,SynD,scaled attention,topk
2,0.8855461085676911,0.0036264739235970004,0.58876670779572,0.009212675274286,0.064736392947444,0.00865454697644,AsyD1,scaled attention,topk
3,0.888234866652132,0.0027190301480800004,0.578349730322391,0.008883417389062,0.064294610342464,0.007439905078095,AsyD2,scaled attention,topk
