,Similarity,Representations,Measure,Rep_Mea,Domain
0,0.020579213142072627,Term distribution,jensen-shannon,Term jensen-shannon,OOD1
1,2.105284015379017,Term distribution,renyi,Term renyi,OOD1
2,0.002667991360278954,Term distribution,cosine,Term cosine,OOD1
3,0.0075675123888159015,Term distribution,euclidean,Term euclidean,OOD1
4,0.17825977866737863,Term distribution,variational,Term variational,OOD1
5,0.026787469904800673,Term distribution,bhattacharyya,Term bhattacharyya,OOD1
6,0.002031187526881695,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1
7,0.008055049449250572,Topic distribution,renyi,Topic renyi,OOD1
8,0.007574260234832764,Topic distribution,cosine,Topic cosine,OOD1
9,0.020768854898353957,Topic distribution,euclidean,Topic euclidean,OOD1
10,0.0996740311384201,Topic distribution,variational,Topic variational,OOD1
11,0.002034467179328203,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1
12,0.022703738846215946,Term distribution,jensen-shannon,Term jensen-shannon,OOD2
13,2.4220633242474094,Term distribution,renyi,Term renyi,OOD2
14,0.005948320706209542,Term distribution,cosine,Term cosine,OOD2
15,0.011508517963632153,Term distribution,euclidean,Term euclidean,OOD2
16,0.20595382727986844,Term distribution,variational,Term variational,OOD2
17,0.02931853875283673,Term distribution,bhattacharyya,Term bhattacharyya,OOD2
18,0.0015697567723691463,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2
19,0.006167748217714719,Topic distribution,renyi,Topic renyi,OOD2
20,0.007824420928955078,Topic distribution,cosine,Topic cosine,OOD2
21,0.021304259465623428,Topic distribution,euclidean,Topic euclidean,OOD2
22,0.08964292705059052,Topic distribution,variational,Topic variational,OOD2
23,0.0015716379275545478,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2
