,Similarity,Representations,Measure,Rep_Mea,Domain
0,0.009306747193887039,Term distribution,jensen-shannon,Term jensen-shannon,InDomain
1,1.2897647214224663,Term distribution,renyi,Term renyi,InDomain
2,0.00023679953083155514,Term distribution,cosine,Term cosine,InDomain
3,0.002250896310423173,Term distribution,euclidean,Term euclidean,InDomain
4,0.09259090729452832,Term distribution,variational,Term variational,InDomain
5,0.011667169519919668,Term distribution,bhattacharyya,Term bhattacharyya,InDomain
6,0.0003399475244805217,Topic distribution,jensen-shannon,Topic jensen-shannon,InDomain
7,0.0033522484861105476,Topic distribution,renyi,Topic renyi,InDomain
8,0.001003563404083252,Topic distribution,cosine,Topic cosine,InDomain
9,0.007468233697173209,Topic distribution,euclidean,Topic euclidean,InDomain
10,0.039785321801900864,Topic distribution,variational,Topic variational,InDomain
11,0.00034910571412183344,Topic distribution,bhattacharyya,Topic bhattacharyya,InDomain
12,0.01476898004756029,Term distribution,jensen-shannon,Term jensen-shannon,OOD1
13,1.8469791428623943,Term distribution,renyi,Term renyi,OOD1
14,0.0024202606862888665,Term distribution,cosine,Term cosine,OOD1
15,0.007286006797765116,Term distribution,euclidean,Term euclidean,OOD1
16,0.15599751352160138,Term distribution,variational,Term variational,OOD1
17,0.018322223897149405,Term distribution,bhattacharyya,Term bhattacharyya,OOD1
18,0.0013124400284141302,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1
19,0.007214875178680384,Topic distribution,renyi,Topic renyi,OOD1
20,0.005451500415802002,Topic distribution,cosine,Topic cosine,OOD1
21,0.017800956943667515,Topic distribution,euclidean,Topic euclidean,OOD1
22,0.08711284399032593,Topic distribution,variational,Topic variational,OOD1
23,0.001322249067015946,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1
24,0.01710700383729221,Term distribution,jensen-shannon,Term jensen-shannon,OOD2
25,2.1114073190074705,Term distribution,renyi,Term renyi,OOD2
26,0.00562687021540087,Term distribution,cosine,Term cosine,OOD2
27,0.01131884723756771,Term distribution,euclidean,Term euclidean,OOD2
28,0.186730852843621,Term distribution,variational,Term variational,OOD2
29,0.021050259447084625,Term distribution,bhattacharyya,Term bhattacharyya,OOD2
30,0.0015104373451322317,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2
31,0.007967313800523932,Topic distribution,renyi,Topic renyi,OOD2
32,0.006352901458740234,Topic distribution,cosine,Topic cosine,OOD2
33,0.02110404846917189,Topic distribution,euclidean,Topic euclidean,OOD2
34,0.0901222676038742,Topic distribution,variational,Topic variational,OOD2
35,0.0015213731676340103,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2
