,Rationales_metrics,gradientshap,gradients,lime,attention,deepliftshap,ig,scaled attention,deeplift,random,Domain,thresholder,mean-f1,Task
0,Sufficiency,0.127245425238517,0.208523738101732,0.155881632384855,0.182574043824502,0.129605908477501,0.248432917453188,0.515200433983368,0.160041442860174,0.169921716024874,Full,topk,0.7103060842741621,AmazPantry
1,Comprehensiveness,0.454223261629832,0.6125687115149501,0.424227338506855,0.476720952821624,0.331031480262743,0.564024142180589,0.792350379198669,0.379203886360839,0.345411322772661,Full,topk,0.7103060842741621,AmazPantry
2,AOPC_sufficiency,0.129094481530908,0.189622897339752,0.14443633067592,0.168990390857038,0.134587783395461,0.22517507001228,0.394762817978791,0.159510743085735,0.164526863796169,Full,topk,0.7103060842741621,AmazPantry
3,AOPC_comprehensiveness,0.367110979948438,0.471075846405699,0.349576792131479,0.317953642941967,0.268393335594247,0.436832366406659,0.5845758510635171,0.276286041456379,0.294328694767324,Full,topk,0.7103060842741621,AmazPantry
4,Sufficiency,0.127245425238517,0.208523738101732,0.155881632384855,0.182574043824502,0.129605908477501,0.248432917453188,0.515200433983368,0.160041442860174,0.169921716024874,Full,contigious,0.7103060842741621,AmazPantry
5,Comprehensiveness,0.454223261629832,0.6125687115149501,0.424227338506855,0.476720952821624,0.331031480262743,0.564024142180589,0.792350379198669,0.379203886360839,0.345411322772661,Full,contigious,0.7103060842741621,AmazPantry
6,AOPC_sufficiency,0.129094481530908,0.189622897339752,0.14443633067592,0.168990390857038,0.134587783395461,0.22517507001228,0.394762817978791,0.159510743085735,0.164526863796169,Full,contigious,0.7103060842741621,AmazPantry
7,AOPC_comprehensiveness,0.367110979948438,0.471075846405699,0.349576792131479,0.317953642941967,0.268393335594247,0.436832366406659,0.5845758510635171,0.276286041456379,0.294328694767324,Full,contigious,0.7103060842741621,AmazPantry
8,Sufficiency,0.151613069671189,0.270757022229107,0.088840849298187,0.324755334014242,0.113403276974226,0.3266692494937,0.478842229171762,0.115387394735012,0.166197337831676,SynD,topk,0.69633613354387,AmazPantry
9,Comprehensiveness,0.299099418421202,0.6376524563914551,0.262019935719413,0.7175685698070211,0.273881557792571,0.6041521902218361,0.8547011433090871,0.381475797368145,0.368839113601642,SynD,topk,0.69633613354387,AmazPantry
10,AOPC_sufficiency,0.162336178462272,0.24573857469723,0.095235834122678,0.26005769090784,0.136516594640503,0.286940607143318,0.364250528619999,0.137900083152408,0.167313182137395,SynD,topk,0.69633613354387,AmazPantry
11,AOPC_comprehensiveness,0.260736583840344,0.5011617654581331,0.23418563562072,0.517622807436674,0.236922520260758,0.477858798984,0.6596560703376201,0.316755444551932,0.30849386293849,SynD,topk,0.69633613354387,AmazPantry
12,Sufficiency,0.151613069671189,0.270757022229107,0.088840849298187,0.324755334014242,0.113403276974226,0.3266692494937,0.478842229171762,0.115387394735012,0.166197337831676,SynD,contigious,0.69633613354387,AmazPantry
13,Comprehensiveness,0.299099418421202,0.6376524563914551,0.262019935719413,0.7175685698070211,0.273881557792571,0.6041521902218361,0.8547011433090871,0.381475797368145,0.368839113601642,SynD,contigious,0.69633613354387,AmazPantry
14,AOPC_sufficiency,0.162336178462272,0.24573857469723,0.095235834122678,0.26005769090784,0.136516594640503,0.286940607143318,0.364250528619999,0.137900083152408,0.167313182137395,SynD,contigious,0.69633613354387,AmazPantry
15,AOPC_comprehensiveness,0.260736583840344,0.5011617654581331,0.23418563562072,0.517622807436674,0.236922520260758,0.477858798984,0.6596560703376201,0.316755444551932,0.30849386293849,SynD,contigious,0.69633613354387,AmazPantry
16,Sufficiency,0.169688101379234,0.294858507870445,0.099525353638448,0.327537509733179,0.118092594899913,0.347922213940856,0.482651404023996,0.124597198932719,0.174340192272029,AsyD1,topk,0.682110410331037,AmazPantry
17,Comprehensiveness,0.312863353480783,0.63515609770295,0.268240258005476,0.699937292839217,0.266186015408374,0.604473736022615,0.8504903744477411,0.364726785359337,0.366656017011905,AsyD1,topk,0.682110410331037,AmazPantry
18,AOPC_sufficiency,0.174972341900754,0.265114185158642,0.103953483260561,0.270473224115801,0.139085561315487,0.304192415339419,0.375204089950026,0.142111209182742,0.175540180419907,AsyD1,topk,0.682110410331037,AmazPantry
19,AOPC_comprehensiveness,0.269512879595564,0.503163095453069,0.237451909240991,0.505467671257914,0.231281654601123,0.481126102342898,0.6607105378267171,0.309308071275344,0.309710560911889,AsyD1,topk,0.682110410331037,AmazPantry
20,Sufficiency,0.169688101379234,0.294858507870445,0.099525353638448,0.327537509733179,0.118092594899913,0.347922213940856,0.482651404023996,0.124597198932719,0.174340192272029,AsyD1,contigious,0.682110410331037,AmazPantry
21,Comprehensiveness,0.312863353480783,0.63515609770295,0.268240258005476,0.699937292839217,0.266186015408374,0.604473736022615,0.8504903744477411,0.364726785359337,0.366656017011905,AsyD1,contigious,0.682110410331037,AmazPantry
22,AOPC_sufficiency,0.174972341900754,0.265114185158642,0.103953483260561,0.270473224115801,0.139085561315487,0.304192415339419,0.375204089950026,0.142111209182742,0.175540180419907,AsyD1,contigious,0.682110410331037,AmazPantry
23,AOPC_comprehensiveness,0.269512879595564,0.503163095453069,0.237451909240991,0.505467671257914,0.231281654601123,0.481126102342898,0.6607105378267171,0.309308071275344,0.309710560911889,AsyD1,contigious,0.682110410331037,AmazPantry
24,Sufficiency,0.18301002484484,0.322339890356662,0.105195818633782,0.334694178618446,0.125131645020765,0.380686179295902,0.495227291615135,0.124904197133509,0.194304529841492,AsyD2,topk,0.681164912415819,AmazPantry
25,Comprehensiveness,0.308197472618534,0.637407435784309,0.251323385539205,0.6791711432406481,0.255153492265989,0.611275205823259,0.845473947914362,0.350681077656682,0.370833276316712,AsyD2,topk,0.681164912415819,AmazPantry
26,AOPC_sufficiency,0.185789798033643,0.286624973332021,0.106717942423627,0.276098143961885,0.144085667250372,0.328750095198255,0.388776892534329,0.143872100476138,0.189053434143125,AsyD2,topk,0.681164912415819,AmazPantry
27,AOPC_comprehensiveness,0.267111642357504,0.5078886581674851,0.226416070535511,0.490673138114637,0.222381644627365,0.489057697175551,0.6581278751023001,0.296969474261131,0.310592705618938,AsyD2,topk,0.681164912415819,AmazPantry
28,Sufficiency,0.18301002484484,0.322339890356662,0.105195818633782,0.334694178618446,0.125131645020765,0.380686179295902,0.495227291615135,0.124904197133509,0.194304529841492,AsyD2,contigious,0.681164912415819,AmazPantry
29,Comprehensiveness,0.308197472618534,0.637407435784309,0.251323385539205,0.6791711432406481,0.255153492265989,0.611275205823259,0.845473947914362,0.350681077656682,0.370833276316712,AsyD2,contigious,0.681164912415819,AmazPantry
30,AOPC_sufficiency,0.185789798033643,0.286624973332021,0.106717942423627,0.276098143961885,0.144085667250372,0.328750095198255,0.388776892534329,0.143872100476138,0.189053434143125,AsyD2,contigious,0.681164912415819,AmazPantry
31,AOPC_comprehensiveness,0.267111642357504,0.5078886581674851,0.226416070535511,0.490673138114637,0.222381644627365,0.489057697175551,0.6581278751023001,0.296969474261131,0.310592705618938,AsyD2,contigious,0.681164912415819,AmazPantry
