Rationales_metrics,gradientshap,gradients,lime,attention,deepliftshap,ig,scaled attention,deeplift,random,Domain,thresholder
Sufficiency,0.127245425238517,0.20852373810173203,0.155881632384855,0.182574043824502,0.129605908477501,0.24843291745318802,0.515200433983368,0.16004144286017402,0.16992171602487402,Full,topk
Comprehensiveness,0.454223261629832,0.6125687115149501,0.424227338506855,0.476720952821624,0.33103148026274304,0.564024142180589,0.792350379198669,0.379203886360839,0.345411322772661,Full,topk
AOPC_sufficiency,0.12909448153090802,0.18962289733975202,0.14443633067592002,0.16899039085703801,0.134587783395461,0.22517507001228002,0.39476281797879104,0.159510743085735,0.16452686379616902,Full,topk
AOPC_comprehensiveness,0.36711097994843805,0.47107584640569905,0.349576792131479,0.31795364294196704,0.268393335594247,0.436832366406659,0.5845758510635171,0.27628604145637903,0.29432869476732404,Full,topk
Sufficiency,0.151613069671189,0.270757022229107,0.088840849298187,0.324755334014242,0.113403276974226,0.3266692494937,0.47884222917176206,0.11538739473501201,0.166197337831676,InDomain,topk
Comprehensiveness,0.299099418421202,0.6376524563914551,0.262019935719413,0.7175685698070211,0.273881557792571,0.6041521902218361,0.8547011433090871,0.381475797368145,0.368839113601642,InDomain,topk
AOPC_sufficiency,0.16233617846227202,0.24573857469723,0.09523583412267801,0.26005769090784003,0.136516594640503,0.28694060714331804,0.364250528619999,0.137900083152408,0.16731318213739502,InDomain,topk
AOPC_comprehensiveness,0.26073658384034404,0.5011617654581331,0.23418563562072,0.517622807436674,0.23692252026075802,0.477858798984,0.6596560703376201,0.316755444551932,0.30849386293849,InDomain,topk
Sufficiency,0.169688101379234,0.29485850787044504,0.09952535363844801,0.327537509733179,0.11809259489991301,0.34792221394085604,0.48265140402399603,0.124597198932719,0.17434019227202902,OOD1,topk
Comprehensiveness,0.31286335348078304,0.63515609770295,0.268240258005476,0.699937292839217,0.266186015408374,0.604473736022615,0.8504903744477411,0.364726785359337,0.36665601701190503,OOD1,topk
AOPC_sufficiency,0.174972341900754,0.26511418515864205,0.103953483260561,0.27047322411580105,0.13908556131548702,0.30419241533941904,0.375204089950026,0.142111209182742,0.17554018041990702,OOD1,topk
AOPC_comprehensiveness,0.269512879595564,0.503163095453069,0.23745190924099102,0.505467671257914,0.23128165460112302,0.48112610234289804,0.6607105378267171,0.30930807127534404,0.30971056091188903,OOD1,topk
Sufficiency,0.18301002484484002,0.32233989035666205,0.10519581863378201,0.334694178618446,0.12513164502076501,0.38068617929590204,0.495227291615135,0.124904197133509,0.19430452984149202,OOD2,topk
Comprehensiveness,0.30819747261853403,0.637407435784309,0.251323385539205,0.6791711432406481,0.25515349226598905,0.611275205823259,0.845473947914362,0.35068107765668205,0.37083327631671203,OOD2,topk
AOPC_sufficiency,0.185789798033643,0.286624973332021,0.106717942423627,0.27609814396188503,0.144085667250372,0.32875009519825504,0.388776892534329,0.14387210047613802,0.189053434143125,OOD2,topk
AOPC_comprehensiveness,0.267111642357504,0.5078886581674851,0.22641607053551102,0.49067313811463703,0.222381644627365,0.48905769717555103,0.6581278751023001,0.296969474261131,0.31059270561893804,OOD2,topk
Sufficiency,0.127245425238517,0.20852373810173203,0.155881632384855,0.182574043824502,0.129605908477501,0.24843291745318802,0.515200433983368,0.16004144286017402,0.16992171602487402,Full,contigious
Comprehensiveness,0.454223261629832,0.6125687115149501,0.424227338506855,0.476720952821624,0.33103148026274304,0.564024142180589,0.792350379198669,0.379203886360839,0.345411322772661,Full,contigious
AOPC_sufficiency,0.12909448153090802,0.18962289733975202,0.14443633067592002,0.16899039085703801,0.134587783395461,0.22517507001228002,0.39476281797879104,0.159510743085735,0.16452686379616902,Full,contigious
AOPC_comprehensiveness,0.36711097994843805,0.47107584640569905,0.349576792131479,0.31795364294196704,0.268393335594247,0.436832366406659,0.5845758510635171,0.27628604145637903,0.29432869476732404,Full,contigious
Sufficiency,0.151613069671189,0.270757022229107,0.088840849298187,0.324755334014242,0.113403276974226,0.3266692494937,0.47884222917176206,0.11538739473501201,0.166197337831676,InDomain,contigious
Comprehensiveness,0.299099418421202,0.6376524563914551,0.262019935719413,0.7175685698070211,0.273881557792571,0.6041521902218361,0.8547011433090871,0.381475797368145,0.368839113601642,InDomain,contigious
AOPC_sufficiency,0.16233617846227202,0.24573857469723,0.09523583412267801,0.26005769090784003,0.136516594640503,0.28694060714331804,0.364250528619999,0.137900083152408,0.16731318213739502,InDomain,contigious
AOPC_comprehensiveness,0.26073658384034404,0.5011617654581331,0.23418563562072,0.517622807436674,0.23692252026075802,0.477858798984,0.6596560703376201,0.316755444551932,0.30849386293849,InDomain,contigious
Sufficiency,0.169688101379234,0.29485850787044504,0.09952535363844801,0.327537509733179,0.11809259489991301,0.34792221394085604,0.48265140402399603,0.124597198932719,0.17434019227202902,OOD1,contigious
Comprehensiveness,0.31286335348078304,0.63515609770295,0.268240258005476,0.699937292839217,0.266186015408374,0.604473736022615,0.8504903744477411,0.364726785359337,0.36665601701190503,OOD1,contigious
AOPC_sufficiency,0.174972341900754,0.26511418515864205,0.103953483260561,0.27047322411580105,0.13908556131548702,0.30419241533941904,0.375204089950026,0.142111209182742,0.17554018041990702,OOD1,contigious
AOPC_comprehensiveness,0.269512879595564,0.503163095453069,0.23745190924099102,0.505467671257914,0.23128165460112302,0.48112610234289804,0.6607105378267171,0.30930807127534404,0.30971056091188903,OOD1,contigious
Sufficiency,0.18301002484484002,0.32233989035666205,0.10519581863378201,0.334694178618446,0.12513164502076501,0.38068617929590204,0.495227291615135,0.124904197133509,0.19430452984149202,OOD2,contigious
Comprehensiveness,0.30819747261853403,0.637407435784309,0.251323385539205,0.6791711432406481,0.25515349226598905,0.611275205823259,0.845473947914362,0.35068107765668205,0.37083327631671203,OOD2,contigious
