,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,Domain,attribute_name,threshold
0,0.8307116905321651,0.0033976915130880005,0.8307959684112041,0.0034410695724520005,0.05041141352558701,0.012824004061742,Full,gradients,topk
1,0.8177388330839921,0.005971424125774,0.814646992770054,0.006009683100820001,0.05985572384409601,0.01399576048547,SynD,gradients,topk
2,0.756892498397093,0.011586549895625001,0.749712314707162,0.013069601683549,0.08025114136670501,0.019521888176487003,AsyD1,gradients,topk
3,0.735028852318871,0.016134949845113,0.7370477393578141,0.017433264179484,0.096699527142954,0.024067754230368003,AsyD2,gradients,topk
0,0.8962812566787771,0.0008981364133120001,0.8972958818191561,0.001046640248424,0.076977459290491,0.0028954126644020004,Full,deeplift,topk
1,0.871382774097029,0.003978653995544,0.8674292913221511,0.0037618182166910003,0.09020977348541401,0.008970184554597001,SynD,deeplift,topk
2,0.834302201325069,0.007851035891755,0.8360062829107481,0.009234729922625001,0.116303686313227,0.005837775528693001,AsyD1,deeplift,topk
3,0.8095746954477451,0.00823893301444,0.8160840698539761,0.008877702034379,0.13893341520424202,0.0066897415460910005,AsyD2,deeplift,topk
0,0.899102372301773,0.001111348578756,0.9009635299400921,0.001122374580593,0.07055448206298001,0.0025794915691110002,Full,scaled attention,topk
1,0.8744389826886081,0.005276785419794001,0.8701139958556431,0.005634232223911,0.08492199932249901,0.008262007693970001,SynD,scaled attention,topk
2,0.837614874973284,0.007697097502270001,0.8457201998546061,0.007661862231555,0.11268269028845,0.011129809739951,AsyD1,scaled attention,topk
3,0.8230604830091891,0.0036560640787070002,0.833421586985969,0.0033880759953190003,0.127755436077666,0.013615437924209,AsyD2,scaled attention,topk
