,Unnamed: 0,Task,Label Num,Domain,Start Date,End Date,Time Span(Days),Median Date,Interquartile Time Span(Days),Data Num
0,0,complain,2,Original (full size),2011-01-07,2018-02-07,2588,2017-12-11,70,2677
1,0,complain,2,Original Train,2011-01-07,2018-02-07,2588,2017-12-12,69,2141
2,0,complain,2,Original Test,2011-03-21,2018-02-07,2515,2017-12-10,65,268
3,0,complain,2,In Domain Train,2011-01-07,2018-01-20,2570,2017-12-01,95,1607
4,0,complain,2,InDomain,2011-08-29,2018-01-20,2336,2017-12-02,46,268
5,0,complain,2,OOD1,2018-01-20,2018-01-31,11,2018-01-26,5,267
6,0,complain,2,OOD2,2018-01-31,2018-02-07,7,2018-02-04,4,267
0,0,binarybragging,2,Original (full size),2019-01-13,2020-12-17,704,2019-12-17,366,5979
1,0,binarybragging,2,Original Train,2019-01-13,2020-12-17,704,2019-12-17,355,4783
2,0,binarybragging,2,Original Test,2019-01-13,2020-12-17,704,2020-01-29,366,598
3,0,binarybragging,2,In Domain Train,2019-01-13,2020-08-19,584,2019-10-08,304,3589
4,0,binarybragging,2,InDomain,2019-01-13,2020-08-19,584,2019-10-08,310,598
5,0,binarybragging,2,OOD1,2020-08-19,2020-10-19,61,2020-09-29,41,597
6,0,binarybragging,2,OOD2,2020-10-19,2020-12-17,59,2020-11-10,37,597
0,0,xfact,6,Original (full size),2007-01-04,2018-11-12,4330,2013-06-27,1727,12050
1,0,xfact,6,Original Train,2007-01-04,2018-11-12,4330,2013-08-19,1769,9639
2,0,xfact,6,Original Test,2007-04-26,2018-11-07,4213,2013-09-19,1727,1206
3,0,xfact,6,In Domain Train,1995-04-01,2016-08-31,7823,2012-08-30,1296,7232
4,0,xfact,6,InDomain,2007-01-04,2016-08-31,3527,2012-08-17,1320,1204
5,0,xfact,6,OOD1,2016-08-31,2017-09-30,395,2017-02-24,216,1205
6,0,xfact,6,OOD2,2017-09-30,2018-11-12,408,2018-05-10,209,1204
0,0,factcheck,2,Original (full size),1995-09-25,2021-07-19,9429,2016-12-29,1519,12640
1,0,factcheck,2,Original Train,1996-02-27,2021-07-19,9274,2016-12-29,1527,10086
2,0,factcheck,2,Original Test,1995-09-25,2021-06-23,9403,2016-12-16,1515,1277
3,0,factcheck,2,In Domain Train,1995-09-25,2019-05-01,8619,2016-04-14,1437,7446
4,0,factcheck,2,InDomain,1996-08-02,2019-05-01,8307,2016-03-09,1319,1241
5,0,factcheck,2,OOD1,2019-05-02,2020-05-15,379,2019-11-18,182,1368
6,0,factcheck,2,OOD2,2020-05-15,2021-07-19,430,2020-10-12,132,1368
0,0,AmazDigiMu,3,Original (full size),1998-07-09,2018-09-26,7384,2015-01-19,789,169623
1,0,AmazDigiMu,3,Original Train,1998-07-09,2018-09-26,7384,2015-01-20,788,135698
2,0,AmazDigiMu,3,Original Test,1998-08-21,2018-09-20,7335,2015-01-08,794,16962
3,0,AmazDigiMu,3,In Domain Train,1998-08-21,2016-05-07,6469,2014-09-20,673,101774
4,0,AmazDigiMu,3,InDomain,1998-12-17,2016-05-07,6351,2014-09-18,669,16963
5,0,AmazDigiMu,3,OOD1,2016-05-07,2016-12-30,237,2016-08-12,120,16962
6,0,AmazDigiMu,3,OOD2,2016-12-30,2018-09-26,635,2017-08-07,290,16962
0,0,AmazInstr,3,Original (full size),2003-10-28,2018-09-28,5449,2015-10-03,864,231344
1,0,AmazInstr,3,Original Train,2004-06-01,2018-09-28,5232,2015-10-02,865,185075
2,0,AmazInstr,3,Original Test,2004-03-27,2018-09-25,5295,2015-10-01,863,23134
3,0,AmazInstr,3,In Domain Train,2003-10-28,2017-02-15,4859,2015-04-05,743,138807
4,0,AmazInstr,3,InDomain,2004-11-23,2017-02-15,4467,2015-04-02,747,23135
5,0,AmazInstr,3,OOD1,2017-02-15,2017-09-19,216,2017-05-17,111,23134
6,0,AmazInstr,3,OOD2,2017-09-19,2018-09-28,374,2018-02-08,130,23134
0,0,AmazPantry,3,Original (full size),2006-04-09,2018-10-04,4561,2016-09-27,485,137611
1,0,AmazPantry,3,Original Train,2006-04-09,2018-09-28,4555,2016-09-27,486,110088
2,0,AmazPantry,3,Original Test,2006-10-14,2018-10-04,4373,2016-09-24,474,13761
3,0,AmazPantry,3,In Domain Train,2006-04-28,2017-07-30,4111,2016-07-06,413,82566
4,0,AmazPantry,3,InDomain,2006-12-22,2017-07-30,3873,2016-07-08,406,13762
5,0,AmazPantry,3,OOD1,2017-07-30,2018-01-21,175,2017-10-16,92,13761
6,0,AmazPantry,3,OOD2,2018-01-21,2018-10-04,256,2018-04-12,94,13761
