,Unnamed: 0,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,Domain,attribute_name,threshold,Task
0,0,0.8307116905321651,0.003397691513088,0.8307959684112041,0.003441069572452,0.050411413525587,0.012824004061742,Full,gradients,topk,agnews
1,1,0.8177388330839921,0.005971424125774,0.814646992770054,0.00600968310082,0.059855723844096,0.01399576048547,SynD,gradients,topk,agnews
2,2,0.756892498397093,0.011586549895625,0.749712314707162,0.013069601683549,0.080251141366705,0.019521888176487,AsyD1,gradients,topk,agnews
3,3,0.735028852318871,0.016134949845113,0.7370477393578141,0.017433264179484,0.096699527142954,0.024067754230368,AsyD2,gradients,topk,agnews
4,0,0.8962812566787771,0.000898136413312,0.8972958818191561,0.001046640248424,0.076977459290491,0.002895412664402,Full,deeplift,topk,agnews
5,1,0.871382774097029,0.003978653995544,0.8674292913221511,0.003761818216691,0.090209773485414,0.008970184554597,SynD,deeplift,topk,agnews
6,2,0.834302201325069,0.007851035891755,0.8360062829107481,0.009234729922625,0.116303686313227,0.005837775528693,AsyD1,deeplift,topk,agnews
7,3,0.8095746954477451,0.00823893301444,0.8160840698539761,0.008877702034379,0.138933415204242,0.006689741546091,AsyD2,deeplift,topk,agnews
8,0,0.899102372301773,0.001111348578756,0.900963529940092,0.001122374580593,0.07055448206298,0.002579491569111,Full,scaled attention,topk,agnews
9,1,0.8744389826886081,0.005276785419794,0.8701139958556431,0.005634232223911,0.084921999322499,0.00826200769397,SynD,scaled attention,topk,agnews
10,2,0.837614874973284,0.00769709750227,0.8457201998546061,0.007661862231555,0.11268269028845,0.011129809739951,AsyD1,scaled attention,topk,agnews
11,3,0.8230604830091891,0.003656064078707,0.833421586985969,0.003388075995319,0.127755436077666,0.013615437924209,AsyD2,scaled attention,topk,agnews
0,0,0.332669983416252,0.005609132512533,0.290464079050678,0.012991103637075,0.060563184214666,0.025239132041442,Full,gradients,topk,xfact
1,1,0.314854771784232,0.001935585691234,0.271976594320741,0.019560578232939,0.026340776226827,0.004021935589402,SynD,gradients,topk,xfact
2,2,0.341576763485477,0.004347153810359,0.183306500083277,0.022037558063887,0.030149977850221,0.008905750434135,AsyD1,gradients,topk,xfact
3,3,0.407966804979253,0.006815092171833,0.243755596605323,0.01427980741572,0.071422635188241,0.019469784913299,AsyD2,gradients,topk,xfact
4,0,0.406965174129353,0.01095531977772,0.358478923904638,0.022012065295012,0.050883817134014,0.016037605678206,Full,deeplift,topk,xfact
