,Unnamed: 0,Similarity,Representations,Measure,Rep_Mea,Domain,Task
0,0,0.0189980551474469,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),agnews
1,1,1.0470994565400649,Term distribution,renyi,Term renyi,In Domain(Baseline),agnews
2,2,0.0005304374641701,Term distribution,cosine,Term cosine,In Domain(Baseline),agnews
3,3,0.0026729696609577,Term distribution,euclidean,Term euclidean,In Domain(Baseline),agnews
4,4,0.1897358764582651,Term distribution,variational,Term variational,In Domain(Baseline),agnews
5,5,0.0226094261753956,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),agnews
6,6,0.0030351269524544,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),agnews
7,7,0.0116847687083764,Topic distribution,renyi,Topic renyi,In Domain(Baseline),agnews
8,8,0.0122753977775573,Topic distribution,cosine,Topic cosine,In Domain(Baseline),agnews
9,9,0.0287968575303589,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),agnews
10,10,0.118194505572319,Topic distribution,variational,Topic variational,In Domain(Baseline),agnews
11,11,0.0030427926685661,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),agnews
12,12,0.0410422532080182,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,agnews
13,13,2.2866752107954893,Term distribution,renyi,Term renyi,OOD1,agnews
14,14,0.0064135814288671,Term distribution,cosine,Term cosine,OOD1,agnews
15,15,0.0090940347734284,Term distribution,euclidean,Term euclidean,OOD1,agnews
16,16,0.3186327074283772,Term distribution,variational,Term variational,OOD1,agnews
17,17,0.0502555229506417,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,agnews
18,18,0.0116570778191089,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,agnews
19,19,0.0438014800747655,Topic distribution,renyi,Topic renyi,OOD1,agnews
20,20,0.0567449331283569,Topic distribution,cosine,Topic cosine,OOD1,agnews
21,21,0.0622957665153526,Topic distribution,euclidean,Topic euclidean,OOD1,agnews
22,22,0.2320034205913543,Topic distribution,variational,Topic variational,OOD1,agnews
23,23,0.0118137700483202,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,agnews
24,24,0.0587223934728809,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,agnews
25,25,3.250373668017491,Term distribution,renyi,Term renyi,OOD2,agnews
26,26,0.0152203669567614,Term distribution,cosine,Term cosine,OOD2,agnews
27,27,0.0140075819568441,Term distribution,euclidean,Term euclidean,OOD2,agnews
28,28,0.3849458683495776,Term distribution,variational,Term variational,OOD2,agnews
29,29,0.0741615255354306,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,agnews
30,30,0.0130213294178247,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,agnews
31,31,0.0484101287682327,Topic distribution,renyi,Topic renyi,OOD2,agnews
32,32,0.0571964979171752,Topic distribution,cosine,Topic cosine,OOD2,agnews
33,33,0.0620914276656265,Topic distribution,euclidean,Topic euclidean,OOD2,agnews
34,34,0.249285951256752,Topic distribution,variational,Topic variational,OOD2,agnews
35,35,0.0132347261533141,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,agnews
0,0,0.1112422340847649,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),xfact
1,1,20.48296720839007,Term distribution,renyi,Term renyi,In Domain(Baseline),xfact
2,2,0.00485052949281,Term distribution,cosine,Term cosine,In Domain(Baseline),xfact
3,3,0.0081682430455197,Term distribution,euclidean,Term euclidean,In Domain(Baseline),xfact
4,4,0.5043130567237326,Term distribution,variational,Term variational,In Domain(Baseline),xfact
5,5,0.1629412113197728,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),xfact
6,6,0.0025582036469131,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),xfact
7,7,0.0104808728210717,Topic distribution,renyi,Topic renyi,In Domain(Baseline),xfact
8,8,0.0087479352951049,Topic distribution,cosine,Topic cosine,In Domain(Baseline),xfact
9,9,0.0215273316409508,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),xfact
10,10,0.1085482984781265,Topic distribution,variational,Topic variational,In Domain(Baseline),xfact
11,11,0.0025674251373857,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),xfact
12,12,0.117517559470376,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,xfact
13,13,21.918890542132,Term distribution,renyi,Term renyi,OOD1,xfact
14,14,0.0109782032883199,Term distribution,cosine,Term cosine,OOD1,xfact
15,15,0.0126430364667624,Term distribution,euclidean,Term euclidean,OOD1,xfact
16,16,0.570390525262182,Term distribution,variational,Term variational,OOD1,xfact
17,17,0.1673954315956601,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,xfact
18,18,0.0042098173871636,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,xfact
19,19,0.0169721377225831,Topic distribution,renyi,Topic renyi,OOD1,xfact
20,20,0.013626217842102,Topic distribution,cosine,Topic cosine,OOD1,xfact
21,21,0.0270805846984528,Topic distribution,euclidean,Topic euclidean,OOD1,xfact
22,22,0.1500053107738495,Topic distribution,variational,Topic variational,OOD1,xfact
23,23,0.0042258258908987,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,xfact
24,24,0.1302955228580531,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,xfact
25,25,23.07725182267053,Term distribution,renyi,Term renyi,OOD2,xfact
26,26,0.0169078334211787,Term distribution,cosine,Term cosine,OOD2,xfact
27,27,0.0148538017190587,Term distribution,euclidean,Term euclidean,OOD2,xfact
28,28,0.611827728075002,Term distribution,variational,Term variational,OOD2,xfact
29,29,0.1878962045474228,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,xfact
30,30,0.0042755752801895,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,xfact
31,31,0.0169475689172134,Topic distribution,renyi,Topic renyi,OOD2,xfact
32,32,0.0159974694252014,Topic distribution,cosine,Topic cosine,OOD2,xfact
33,33,0.0284188269227708,Topic distribution,euclidean,Topic euclidean,OOD2,xfact
34,34,0.1330587118864059,Topic distribution,variational,Topic variational,OOD2,xfact
35,35,0.0042969980277121,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,xfact
0,0,0.012245854517898,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),factcheck
1,1,1.159263581291684,Term distribution,renyi,Term renyi,In Domain(Baseline),factcheck
2,2,0.000171735423196,Term distribution,cosine,Term cosine,In Domain(Baseline),factcheck
3,3,0.001797605939562,Term distribution,euclidean,Term euclidean,In Domain(Baseline),factcheck
4,4,0.123602654996418,Term distribution,variational,Term variational,In Domain(Baseline),factcheck
5,5,0.0145765222596732,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),factcheck
6,6,0.0029089623130857,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),factcheck
7,7,0.0122474962952976,Topic distribution,renyi,Topic renyi,In Domain(Baseline),factcheck
8,8,0.003222644329071,Topic distribution,cosine,Topic cosine,In Domain(Baseline),factcheck
9,9,0.0326002645273889,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),factcheck
10,10,0.1154298409819603,Topic distribution,variational,Topic variational,In Domain(Baseline),factcheck
11,11,0.0029230478685349,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),factcheck
12,12,0.0333554521271696,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,factcheck
13,13,2.0382146286790865,Term distribution,renyi,Term renyi,OOD1,factcheck
14,14,0.006757170679731,Term distribution,cosine,Term cosine,OOD1,factcheck
15,15,0.0119927050079533,Term distribution,euclidean,Term euclidean,OOD1,factcheck
16,16,0.2892776944363889,Term distribution,variational,Term variational,OOD1,factcheck
17,17,0.0392791778034662,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,factcheck
18,18,0.0143234804272651,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,factcheck
19,19,0.0591011969159298,Topic distribution,renyi,Topic renyi,OOD1,factcheck
20,20,0.0390470623970031,Topic distribution,cosine,Topic cosine,OOD1,factcheck
21,21,0.0873196294327915,Topic distribution,euclidean,Topic euclidean,OOD1,factcheck
22,22,0.3003052175045013,Topic distribution,variational,Topic variational,OOD1,factcheck
