,Domain,Bert F1,FRESH F1,KUMA F1,LSTM F1,AOPC_suff,AOPC_compr,Text_Simi,Rationales_Simi,Label distribution,Interquartile-Oldest,Median,Interquartile-Newest,InterTimeSpan(D),Oldest Date,Newest Date,TimeSpan(D),Data Num,TimeDensity,InterTimeDensity,TimeDiff,Task
0,Full,0.8305339284144031,0.8064020772293481,0.516957839584268,0.6856452955567041,,,,,"0    1733
1     944",2017-11-05,2017-12-11,2018-01-14,70,2011-01-07,2018-02-07,2588,2677,1.0343894899536321,19.12142857142857,0.0,complain
1,InDomain,0.8596447296380261,0.857944423500349,0.5017797886721029,0.7655955250959211,0.462150358334013,0.24213687106072002,0.010242203250527382,0.013653825968503952,"0    165
1    103",2017-11-01,2017-12-02,2017-12-17,46,2011-08-29,2018-01-20,2336,268,0.11472602739726027,2.9130434782608696,0.22046651617757712,complain
2,OOD1,0.8336294607900521,0.8022359736407719,0.465234330724237,0.7159877827221021,0.57308171533397,0.16446041531994202,0.013324663043022156,0.01401970162987709,"0    216
1     51",2018-01-24,2018-01-26,2018-01-29,5,2018-01-20,2018-01-31,11,267,24.272727272727273,26.7,2.0451467268623027,complain
3,OOD2,0.8274850599601821,0.756045584368859,0.467016674435505,0.7361160840642099,0.571945843288018,0.152645243803522,0.01311324443668127,0.015478409826755525,"0    202
1     65",2018-02-02,2018-02-04,2018-02-06,4,2018-01-31,2018-02-07,7,267,38.142857142857146,33.375,2.0677200902934536,complain
4,In Domain Train,,,,,,,,,"0    986
1    621",2017-09-12,2017-12-01,2017-12-16,95,2011-01-07,2018-01-20,2570,1607,0.6252918287937743,8.457894736842105,0.0835214446952596,complain
0,Full,0.7024769130858339,0.663991265757884,0.489033050771741,0.606583549084265,,,,,"0    5279
1     700",2019-06-23,2019-12-17,2020-06-23,366,2019-01-13,2020-12-17,704,5979,8.492897727272727,8.168032786885245,0.0,binarybragging
1,InDomain,0.6065370796402769,0.542774272294106,0.468663993637289,0.5920572763800781,0.7643411146461581,0.25172151049255503,0.012343466281890871,0.004328911192715168,"0    521
1     77",2019-05-19,2019-10-08,2020-03-24,310,2019-01-13,2020-08-19,584,598,1.023972602739726,0.964516129032258,0.5906542056074766,binarybragging
2,OOD1,0.6300989762355861,0.5497517787724681,0.47447956805055796,0.5815954774992049,0.767738545509503,0.23855863414920603,0.011054165661334991,0.003215123899281025,"0    532
1     65",2020-08-19,2020-09-29,2020-09-29,41,2020-08-19,2020-10-19,61,597,9.78688524590164,7.280487804878049,2.7121495327102805,binarybragging
3,OOD2,0.600256765537968,0.523275431898072,0.49790932075400396,0.5968239157608191,0.7665396162599971,0.226342529294686,0.01276535540819168,0.005356878973543644,"0    535
1     62",2020-11-10,2020-11-10,2020-12-17,37,2020-10-19,2020-12-17,59,597,10.11864406779661,8.067567567567568,3.0971962616822433,binarybragging
4,In Domain Train,,,,,,,,,"0    3165
1     424",2019-05-25,2019-10-08,2020-03-24,304,2019-01-13,2020-08-19,584,3589,6.14554794520548,5.902960526315789,0.5794392523364486,binarybragging
0,Full,0.374447641796258,0.29926101696195,0.15565425114720602,0.35437752045516496,,,,,"0    3541
1    2344
3    2226
2    2009
5    1742
4     188",2011-06-16,2013-08-20,2016-04-10,1760,1995-04-01,2018-11-12,8626,12050,1.3969394852770693,3.4232954545454546,0.0,xfact
