Rationales_metrics,random,scaled attention,attention,deeplift,gradients,lime,Domain,thresholder
Sufficiency,0.8648002493869401,0.9035465361842331,0.8509959423122191,0.8967053767148611,0.8346769227035461,0.84039656671686,Full,topk
Comprehensiveness,0.081179910519192,0.292265599081653,0.11359990379899801,0.157191249612979,0.085182932831716,0.07186738369885501,Full,topk
AOPC_sufficiency,0.7023213482806291,0.729872728298245,0.692204159262345,0.7235540368567881,0.68436544574306,0.684353701425227,Full,topk
AOPC_comprehensiveness,0.079619724513281,0.199500622306808,0.06998947662818801,0.11516047786824801,0.056834220597968006,0.069137059395733,Full,topk
Sufficiency,0.950701538675034,0.955736570573345,0.9560597041777261,0.9524178995791661,0.951428256868295,0.944767016639609,InDomain,topk
Comprehensiveness,0.18858448352952,0.42105862607300304,0.160278400498713,0.236489074114848,0.15148318949553602,0.155691472178655,InDomain,topk
AOPC_sufficiency,0.742615267803158,0.7643411146461581,0.749918258241646,0.752164863412584,0.748829233127972,0.7355740774211721,InDomain,topk
AOPC_comprehensiveness,0.11999735590707601,0.25172151049255503,0.08504891930496501,0.13839149676741602,0.103849753878027,0.09808693795718801,InDomain,topk
Sufficiency,0.9530034763512361,0.9626511271793151,0.9626729611973021,0.9572640307860241,0.9584863088293991,0.946193043694971,OOD1,topk
Comprehensiveness,0.19239194853605002,0.410560067688207,0.18436170251154801,0.245403285949074,0.160270732814003,0.141811602755534,OOD1,topk
AOPC_sufficiency,0.7464194929079371,0.767738545509503,0.7536254367236841,0.75416983437934,0.754069705880909,0.738654931704061,OOD1,topk
AOPC_comprehensiveness,0.11849337980317101,0.23855863414920603,0.08963075813896,0.137730578388771,0.10330716378580301,0.092015354935291,OOD1,topk
Sufficiency,0.9559288223337471,0.96050783537718,0.9593503043708491,0.9568353764271771,0.958172422695812,0.9454470976965541,OOD2,topk
Comprehensiveness,0.17055496845766902,0.39165842488817004,0.157589525312509,0.23348480455773102,0.126634595747842,0.13901214974335901,OOD2,topk
AOPC_sufficiency,0.7455994793189381,0.7665396162599971,0.751971421860254,0.7556963843269101,0.752483744780272,0.73668450407884,OOD2,topk
AOPC_comprehensiveness,0.10750301298930201,0.226342529294686,0.080070497570768,0.129240454439042,0.086027498992623,0.09132845334997701,OOD2,topk
Sufficiency,0.8587682474132251,0.8981454135081921,0.847611155839841,0.8875992482472461,0.8493376829940471,0.8486678243689141,Full,contigious
Comprehensiveness,0.175276303492814,0.29462254555836903,0.16840050213815602,0.17730871069032803,0.15571489730198101,0.13553997932816,Full,contigious
AOPC_sufficiency,0.6877663168689491,0.720084205118801,0.678087013827507,0.7093098074256311,0.6795623081552811,0.683379135694529,Full,contigious
AOPC_comprehensiveness,0.12355106109171,0.20613947097461202,0.10375707165707501,0.12366398572012001,0.099937218461165,0.096555695772395,Full,contigious
Sufficiency,0.9497504461121,0.9598147459639701,0.9587270023175141,0.9548338793006331,0.9518739318875371,0.9511208349613701,InDomain,contigious
Comprehensiveness,0.17515426941383203,0.33828335580468305,0.182134017649795,0.197364568263413,0.19746598224429202,0.144298448662316,InDomain,contigious
AOPC_sufficiency,0.7534518367367381,0.7643015057929791,0.76135141262445,0.7572995971744431,0.757664563749458,0.7514212243428591,InDomain,contigious
AOPC_comprehensiveness,0.112570985882931,0.20341523088592703,0.09121154244946701,0.10858695486986901,0.12137798760664001,0.09400341157116601,InDomain,contigious
Sufficiency,0.9521617286321961,0.963837193623419,0.964542853583729,0.9592314417624981,0.959671007314122,0.9543214142027511,OOD1,contigious
Comprehensiveness,0.17933356922038102,0.29911501034168203,0.164933259774756,0.201250811291823,0.18397907925855803,0.14802392671668402,OOD1,contigious
AOPC_sufficiency,0.754558377693717,0.7680195084583841,0.767438774242806,0.7594834857101671,0.7631302966033381,0.75412584325311,OOD1,contigious
AOPC_comprehensiveness,0.110315161132747,0.182749809099911,0.08568557632887801,0.10920805464239501,0.114797646016147,0.092943922410538,OOD1,contigious
Sufficiency,0.9564438707092141,0.9627867413993981,0.965966174602593,0.9625904541322351,0.9572642521424881,0.9532851767436451,OOD2,contigious
Comprehensiveness,0.15375570868834101,0.276408792064448,0.160712405120327,0.175577246399112,0.18101573607312302,0.13695387852172702,OOD2,contigious
AOPC_sufficiency,0.7572061207067471,0.7662444063614151,0.7673249684982011,0.762152829384367,0.7620072369653851,0.7517927388597511,OOD2,contigious
AOPC_comprehensiveness,0.09309758676455501,0.168678166893541,0.08294663567970001,0.098740582458331,0.106674206948646,0.08489410187366,OOD2,contigious
