,Similarity,Representations,Measure,Rep_Mea,Domain,attribute_name,threshold
0,0.1433529031929774,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),scaled attention,topk
1,24.010743317783916,Term distribution,renyi,Term renyi,In Domain(Baseline),scaled attention,topk
2,0.026671448315840562,Term distribution,cosine,Term cosine,In Domain(Baseline),scaled attention,topk
3,0.023474783718614896,Term distribution,euclidean,Term euclidean,In Domain(Baseline),scaled attention,topk
4,0.6128254631940843,Term distribution,variational,Term variational,In Domain(Baseline),scaled attention,topk
5,0.21943781977116886,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),scaled attention,topk
6,0.004328911192715168,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),scaled attention,topk
7,0.016183530677330377,Topic distribution,renyi,Topic renyi,In Domain(Baseline),scaled attention,topk
8,0.017070412635803223,Topic distribution,cosine,Topic cosine,In Domain(Baseline),scaled attention,topk
9,0.03005870441536753,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),scaled attention,topk
10,0.14105454087257385,Topic distribution,variational,Topic variational,In Domain(Baseline),scaled attention,topk
11,0.004346025642007589,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),scaled attention,topk
12,0.14466377997673335,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,scaled attention,topk
13,23.469510650644903,Term distribution,renyi,Term renyi,OOD1,scaled attention,topk
14,0.02048983921681602,Term distribution,cosine,Term cosine,OOD1,scaled attention,topk
15,0.02062676034406055,Term distribution,euclidean,Term euclidean,OOD1,scaled attention,topk
16,0.615472820661568,Term distribution,variational,Term variational,OOD1,scaled attention,topk
17,0.22138605779716317,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,scaled attention,topk
18,0.003215123899281025,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,scaled attention,topk
19,0.012283499899756006,Topic distribution,renyi,Topic renyi,OOD1,scaled attention,topk
20,0.009688615798950195,Topic distribution,cosine,Topic cosine,OOD1,scaled attention,topk
21,0.023840923704373084,Topic distribution,euclidean,Topic euclidean,OOD1,scaled attention,topk
22,0.1270226091146469,Topic distribution,variational,Topic variational,OOD1,scaled attention,topk
23,0.0032222869340330362,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,scaled attention,topk
24,0.1394148220169124,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,scaled attention,topk
25,23.506363330808714,Term distribution,renyi,Term renyi,OOD2,scaled attention,topk
26,0.024776362537558883,Term distribution,cosine,Term cosine,OOD2,scaled attention,topk
27,0.022902414498890883,Term distribution,euclidean,Term euclidean,OOD2,scaled attention,topk
28,0.6091873022760583,Term distribution,variational,Term variational,OOD2,scaled attention,topk
29,0.21143015067246046,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,scaled attention,topk
30,0.005356878973543644,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,scaled attention,topk
31,0.02090013956418531,Topic distribution,renyi,Topic renyi,OOD2,scaled attention,topk
32,0.017293691635131836,Topic distribution,cosine,Topic cosine,OOD2,scaled attention,topk
33,0.0319119413534827,Topic distribution,euclidean,Topic euclidean,OOD2,scaled attention,topk
34,0.16024045646190643,Topic distribution,variational,Topic variational,OOD2,scaled attention,topk
35,0.005382992792874575,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,scaled attention,topk
36,0.22095847487136722,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),attention,topk
37,41.335367608265145,Term distribution,renyi,Term renyi,In Domain(Baseline),attention,topk
38,0.006716300610183579,Term distribution,cosine,Term cosine,In Domain(Baseline),attention,topk
39,0.016453626718659693,Term distribution,euclidean,Term euclidean,In Domain(Baseline),attention,topk
40,0.7948390801543688,Term distribution,variational,Term variational,In Domain(Baseline),attention,topk
41,0.3683044010115975,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),attention,topk
42,0.004102244507521391,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),attention,topk
43,0.015674828943875372,Topic distribution,renyi,Topic renyi,In Domain(Baseline),attention,topk
44,0.014914631843566895,Topic distribution,cosine,Topic cosine,In Domain(Baseline),attention,topk
45,0.025846017483673142,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),attention,topk
46,0.14660772681236267,Topic distribution,variational,Topic variational,In Domain(Baseline),attention,topk
47,0.004114019218832254,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),attention,topk
48,0.22087998329160763,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,attention,topk
49,40.68654647348612,Term distribution,renyi,Term renyi,OOD1,attention,topk
50,0.0099878537791529,Term distribution,cosine,Term cosine,OOD1,attention,topk
51,0.019986963477310205,Term distribution,euclidean,Term euclidean,OOD1,attention,topk
52,0.8109318153588452,Term distribution,variational,Term variational,OOD1,attention,topk
53,0.3663494408317319,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,attention,topk
54,0.004620249383151531,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,attention,topk
55,0.017766911805670884,Topic distribution,renyi,Topic renyi,OOD1,attention,topk
56,0.01790142059326172,Topic distribution,cosine,Topic cosine,OOD1,attention,topk
57,0.0290915359510015,Topic distribution,euclidean,Topic euclidean,OOD1,attention,topk
58,0.1606193482875824,Topic distribution,variational,Topic variational,OOD1,attention,topk
59,0.004634613171219826,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,attention,topk
60,0.21532153011463714,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,attention,topk
61,41.177855964498384,Term distribution,renyi,Term renyi,OOD2,attention,topk
62,0.010144387585794945,Term distribution,cosine,Term cosine,OOD2,attention,topk
63,0.02031869502653438,Term distribution,euclidean,Term euclidean,OOD2,attention,topk
64,0.799109792722226,Term distribution,variational,Term variational,OOD2,attention,topk
65,0.3544882414269606,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,attention,topk
66,0.005798995029181242,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,attention,topk
67,0.022283716933051617,Topic distribution,renyi,Topic renyi,OOD2,attention,topk
68,0.026403307914733887,Topic distribution,cosine,Topic cosine,OOD2,attention,topk
69,0.034617981147897506,Topic distribution,euclidean,Topic euclidean,OOD2,attention,topk
70,0.172826886177063,Topic distribution,variational,Topic variational,OOD2,attention,topk
