,15,5,10,25,20,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,domain
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/bragging_full/bert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/bragging_full/bert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/bragging_full/bert10.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/bragging_full/bert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/bragging_full/bert20.pt,0.8876254180602001,0.003871517358792,0.201535139378822,0.06249071268035,0.027095960045737003,0.009745015587326001,Full size
f1,0.133976148185739,0.2950704036597,0.133976148185739,0.20253250454656402,0.242120492316365,0.8876254180602001,0.003871517358792,0.201535139378822,0.06249071268035,0.027095960045737003,0.009745015587326001,Full size
accuracy,0.8829431438127091,0.891304347826086,0.8829431438127091,0.8896321070234111,0.891304347826086,0.8876254180602001,0.003871517358792,0.201535139378822,0.06249071268035,0.027095960045737003,0.009745015587326001,Full size
loss,8.547286497919183,6.463642070167943,8.844736682741265,7.480409713167893,6.898702856741454,0.8876254180602001,0.003871517358792,0.201535139378822,0.06249071268035,0.027095960045737003,0.009745015587326001,Full size
ece-score,0.034743420106910006,0.03347175301716,0.008502771822505,0.032506904324958,0.026254950957154,0.8876254180602001,0.003871517358792,0.201535139378822,0.06249071268035,0.027095960045737003,0.009745015587326001,Full size
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/bragging/bert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/bragging/bert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/bragging/bert10.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/bragging/bert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/bragging/bert20.pt,0.8698996655518391,0.0012513904303590002,0.15428889908638801,0.020095917999239002,0.023916992395617002,0.008234648969065,InDomain
f1,0.13302693731648102,0.17087555846137,0.18312572985597503,0.13302693731648102,0.15138933248163502,0.8698996655518391,0.0012513904303590002,0.15428889908638801,0.020095917999239002,0.023916992395617002,0.008234648969065,InDomain
accuracy,0.871237458193979,0.8695652173913041,0.8695652173913041,0.871237458193979,0.8678929765886281,0.8698996655518391,0.0012513904303590002,0.15428889908638801,0.020095917999239002,0.023916992395617002,0.008234648969065,InDomain
loss,9.445292930853995,8.625194044489609,7.784995809981697,10.103866633615995,8.310839662426396,0.8698996655518391,0.0012513904303590002,0.15428889908638801,0.020095917999239002,0.023916992395617002,0.008234648969065,InDomain
ece-score,0.016664622818745003,0.039034604328531,0.01785376717813,0.019891737496175,0.026140230156506003,0.8698996655518391,0.0012513904303590002,0.15428889908638801,0.020095917999239002,0.023916992395617002,0.008234648969065,InDomain
