,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,domain,attribute_name,threshold
0,0.871237458193979,1.110223024625156e-16,0.13302693731648102,0.0,0.025219338863190003,0.008911470796974,InDomain,attention,topk
1,0.8911222780569511,1.110223024625156e-16,0.13463241806908702,0.0,0.021249016824878002,0.0038474230896300005,OOD1,attention,topk
2,0.896147403685092,0.0,0.135032811711256,0.0,0.024039487842738003,0.011542206301105001,OOD2,attention,topk
0,0.871237458193979,1.110223024625156e-16,0.13302693731648102,0.0,0.024043468567838,0.013587464441456,InDomain,gradients,topk
1,0.8911222780569511,1.110223024625156e-16,0.13463241806908702,0.0,0.021249016824878002,0.0038474230896300005,OOD1,gradients,topk
2,0.896147403685092,0.0,0.135032811711256,0.0,0.024039487842738003,0.011542206301105001,OOD2,gradients,topk
0,0.871237458193979,1.110223024625156e-16,0.13302693731648102,0.0,0.026563027889832003,0.015426352045572002,InDomain,lime,topk
1,0.8911222780569511,1.110223024625156e-16,0.13463241806908702,0.0,0.021249016824878002,0.0038474230896300005,OOD1,lime,topk
2,0.896147403685092,0.0,0.135032811711256,0.0,0.024039487842738003,0.011542206301105001,OOD2,lime,topk
0,0.871237458193979,1.110223024625156e-16,0.13712539332953402,0.008196912026105,0.028289369496214002,0.020042760328586002,InDomain,deeplift,topk
1,0.8911222780569511,1.110223024625156e-16,0.13463241806908702,0.0,0.021249016824878002,0.0038474230896300005,OOD1,deeplift,topk
2,0.896147403685092,0.0,0.135032811711256,0.0,0.024039487842738003,0.011542206301105001,OOD2,deeplift,topk
0,0.871237458193979,1.110223024625156e-16,0.13302693731648102,0.0,0.022334347909509,0.016094142133603002,InDomain,scaled_attention,topk
1,0.8911222780569511,1.110223024625156e-16,0.13463241806908702,0.0,0.021249016824878002,0.0038474230896300005,OOD1,scaled_attention,topk
2,0.896147403685092,0.0,0.135032811711256,0.0,0.024039487842738003,0.011542206301105001,OOD2,scaled_attention,topk
0,0.871237458193979,1.110223024625156e-16,0.13302693731648102,0.0,0.027531523409495003,0.015150915861265001,InDomain,attention,contigious
1,0.8911222780569511,1.110223024625156e-16,0.13463241806908702,0.0,0.021249016824878002,0.0038474230896300005,OOD1,attention,contigious
2,0.896147403685092,0.0,0.135032811711256,0.0,0.024039487842738003,0.011542206301105001,OOD2,attention,contigious
0,0.871237458193979,1.110223024625156e-16,0.13302693731648102,0.0,0.027110560203475003,0.018112584209628,InDomain,gradients,contigious
1,0.8911222780569511,1.110223024625156e-16,0.13463241806908702,0.0,0.021249016824878002,0.0038474230896300005,OOD1,gradients,contigious
2,0.896147403685092,0.0,0.135032811711256,0.0,0.024039487842738003,0.011542206301105001,OOD2,gradients,contigious
0,0.8709030100334441,0.00066889632107,0.132999622942886,5.4628747190621495e-05,0.032219431591671004,0.011198788530699002,InDomain,lime,contigious
1,0.8911222780569511,1.110223024625156e-16,0.13463241806908702,0.0,0.021249016824878002,0.0038474230896300005,OOD1,lime,contigious
2,0.896147403685092,0.0,0.135032811711256,0.0,0.024039487842738003,0.011542206301105001,OOD2,lime,contigious
0,0.871237458193979,1.110223024625156e-16,0.13302693731648102,0.0,0.017452316499474003,0.009832664989717,InDomain,deeplift,contigious
1,0.8911222780569511,1.110223024625156e-16,0.13463241806908702,0.0,0.021249016824878002,0.0038474230896300005,OOD1,deeplift,contigious
2,0.896147403685092,0.0,0.135032811711256,0.0,0.024039487842738003,0.011542206301105001,OOD2,deeplift,contigious
0,0.871237458193979,1.110223024625156e-16,0.13302693731648102,0.0,0.031171512234968002,0.013881346156751,InDomain,scaled_attention,contigious
1,0.8911222780569511,1.110223024625156e-16,0.13463241806908702,0.0,0.021249016824878002,0.0038474230896300005,OOD1,scaled_attention,contigious
2,0.896147403685092,0.0,0.135032811711256,0.0,0.024039487842738003,0.011542206301105001,OOD2,scaled_attention,contigious
