,kuma-bert20,kuma-bert10,kuma-bert25,kuma-bert5,kuma-bert15,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,domain
model,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert20.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert10.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert25.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert5.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert15.pt,0.8709030100334441,0.00066889632107,0.132999622942886,5.4628747190621495e-05,0.38875619151620106,0.16089985829671402,InDomain
f1,0.13302693731648102,0.13289036544850502,0.13302693731648102,0.13302693731648102,0.13302693731648102,0.8709030100334441,0.00066889632107,0.132999622942886,5.4628747190621495e-05,0.38875619151620106,0.16089985829671402,InDomain
accuracy,0.871237458193979,0.8695652173913041,0.871237458193979,0.871237458193979,0.871237458193979,0.8709030100334441,0.00066889632107,0.132999622942886,5.4628747190621495e-05,0.38875619151620106,0.16089985829671402,InDomain
loss,17.60404822700902,23.033051691557233,19.56742090927927,-321.71183857164885,17.573669107336748,0.8709030100334441,0.00066889632107,0.132999622942886,5.4628747190621495e-05,0.38875619151620106,0.16089985829671402,InDomain
ece-score,0.19468031666649602,0.583579897357269,0.466722851762404,0.49880663440079903,0.199991257394037,0.8709030100334441,0.00066889632107,0.132999622942886,5.4628747190621495e-05,0.38875619151620106,0.16089985829671402,InDomain
model,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert20.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert10.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert25.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert5.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert15.pt,0.889447236180904,0.0025949637160510002,0.134498194509132,0.00020804895831600003,0.415920790615592,0.15020709907749402,OOD1
f1,0.13463241806908702,0.13409523809523802,0.13449848024316102,0.13463241806908702,0.13463241806908702,0.889447236180904,0.0025949637160510002,0.134498194509132,0.00020804895831600003,0.415920790615592,0.15020709907749402,OOD1
accuracy,0.8911222780569511,0.8844221105527631,0.889447236180904,0.8911222780569511,0.8911222780569511,0.889447236180904,0.0025949637160510002,0.134498194509132,0.00020804895831600003,0.415920790615592,0.15020709907749402,OOD1
loss,17.232982936658356,22.898289479707415,19.271196365356445,-276.8904282419305,17.106119130787096,0.889447236180904,0.0025949637160510002,0.134498194509132,0.00020804895831600003,0.415920790615592,0.15020709907749402,OOD1
ece-score,0.23896831625969503,0.600684867432368,0.48859651159601103,0.5150328890312851,0.23632136875860202,0.889447236180904,0.0025949637160510002,0.134498194509132,0.00020804895831600003,0.415920790615592,0.15020709907749402,OOD1
model,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert20.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert10.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert25.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert5.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/bragging/kuma-bert15.pt,0.8958123953098821,0.000670016750418,0.135006166004094,5.329141432468543e-05,0.40168408710054004,0.16508991684889301,OOD2
f1,0.135032811711256,0.134899583175445,0.135032811711256,0.135032811711256,0.135032811711256,0.8958123953098821,0.000670016750418,0.135006166004094,5.329141432468543e-05,0.40168408710054004,0.16508991684889301,OOD2
accuracy,0.896147403685092,0.8944723618090451,0.896147403685092,0.896147403685092,0.896147403685092,0.8958123953098821,0.000670016750418,0.135006166004094,5.329141432468543e-05,0.40168408710054004,0.16508991684889301,OOD2
loss,15.947997469651071,22.22878441057707,18.474758399160283,-311.8993803325452,15.903699799587852,0.8958123953098821,0.000670016750418,0.135006166004094,5.329141432468543e-05,0.40168408710054004,0.16508991684889301,OOD2
ece-score,0.203337951970459,0.60094950446731,0.47988236517063504,0.5170135609867981,0.20723705290749603,0.8958123953098821,0.000670016750418,0.135006166004094,5.329141432468543e-05,0.40168408710054004,0.16508991684889301,OOD2
