Rationales_metrics,gradients,attention,random,lime,scaled attention,deeplift,Domain,thresholder,seed
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,InDomain,topk,5
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,InDomain,topk,5
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,InDomain,topk,5
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,InDomain,topk,5
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,OOD1,topk,5
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,OOD1,topk,5
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,OOD1,topk,5
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,OOD1,topk,5
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,OOD2,topk,5
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,OOD2,topk,5
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,OOD2,topk,5
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,OOD2,topk,5
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,InDomain,contigious,5
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,InDomain,contigious,5
