,Similarity,Representations,Measure,Rep_Mea,Domain,attribute_name,threshold
0,0.2396169456136617,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),attention,topk
1,46.63232659539369,Term distribution,renyi,Term renyi,In Domain(Baseline),attention,topk
2,0.01825855891504513,Term distribution,cosine,Term cosine,In Domain(Baseline),attention,topk
3,0.021386586986709994,Term distribution,euclidean,Term euclidean,In Domain(Baseline),attention,topk
4,0.866432451228359,Term distribution,variational,Term variational,In Domain(Baseline),attention,topk
5,0.4065783451351849,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),attention,topk
6,0.002778989262878895,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),attention,topk
7,0.010486868066508746,Topic distribution,renyi,Topic renyi,In Domain(Baseline),attention,topk
8,0.007222354412078857,Topic distribution,cosine,Topic cosine,In Domain(Baseline),attention,topk
9,0.022334772065034942,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),attention,topk
10,0.12688246369361877,Topic distribution,variational,Topic variational,In Domain(Baseline),attention,topk
11,0.0027825168799608946,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),attention,topk
12,0.24342698254271272,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,attention,topk
13,46.278959736134986,Term distribution,renyi,Term renyi,OOD1,attention,topk
14,0.017030209243150796,Term distribution,cosine,Term cosine,OOD1,attention,topk
15,0.021866849217287623,Term distribution,euclidean,Term euclidean,OOD1,attention,topk
16,0.8840286074511261,Term distribution,variational,Term variational,OOD1,attention,topk
17,0.41435861545231745,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,attention,topk
18,0.003359830705448985,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,attention,topk
19,0.012796693456503383,Topic distribution,renyi,Topic renyi,OOD1,attention,topk
20,0.010075867176055908,Topic distribution,cosine,Topic cosine,OOD1,attention,topk
21,0.02625322885174907,Topic distribution,euclidean,Topic euclidean,OOD1,attention,topk
22,0.12643462419509888,Topic distribution,variational,Topic variational,OOD1,attention,topk
