,20,25,5,10,15,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,domain
model,/home/cass/PycharmProjects/extract_rationales/models/complain_full/bert20.pt,/home/cass/PycharmProjects/extract_rationales/models/complain_full/bert25.pt,/home/cass/PycharmProjects/extract_rationales/models/complain_full/bert5.pt,/home/cass/PycharmProjects/extract_rationales/models/complain_full/bert10.pt,/home/cass/PycharmProjects/extract_rationales/models/complain_full/bert15.pt,0.807462686567164,0.07956077913329901,0.74530288831127,0.171147118844707,0.05735995484821801,0.024600073189279002,Full size
f1,0.8169739864655111,0.8398479996322571,0.8435637480798771,0.822530222530222,0.40359848484848404,0.807462686567164,0.07956077913329901,0.74530288831127,0.171147118844707,0.05735995484821801,0.024600073189279002,Full size
accuracy,0.835820895522388,0.854477611940298,0.8582089552238801,0.8395522388059701,0.649253731343283,0.807462686567164,0.07956077913329901,0.74530288831127,0.171147118844707,0.05735995484821801,0.024600073189279002,Full size
loss,10.680675294664171,11.298124207390678,10.871041350894505,10.752286367946201,20.756786346435547,0.807462686567164,0.07956077913329901,0.74530288831127,0.171147118844707,0.05735995484821801,0.024600073189279002,Full size
ece-score,0.038838676329868004,0.078241822212489,0.051568482126762,0.09229663414741601,0.025854159424554,0.807462686567164,0.07956077913329901,0.74530288831127,0.171147118844707,0.05735995484821801,0.024600073189279002,Full size
model,/home/cass/PycharmProjects/extract_rationales/models/complain/bert20.pt,/home/cass/PycharmProjects/extract_rationales/models/complain/bert25.pt,/home/cass/PycharmProjects/extract_rationales/models/complain/bert5.pt,/home/cass/PycharmProjects/extract_rationales/models/complain/bert10.pt,/home/cass/PycharmProjects/extract_rationales/models/complain/bert15.pt,0.8880597014925371,0.006674829783581001,0.881793012513689,0.007691391794443001,0.040171876460758,0.016414445181455,InDomain
f1,0.894122294894868,0.874296435272045,0.8755970830900071,0.8775624493405051,0.8873867999710201,0.8880597014925371,0.006674829783581001,0.881793012513689,0.007691391794443001,0.040171876460758,0.016414445181455,InDomain
accuracy,0.8992537313432831,0.8805970149253731,0.8843283582089551,0.8843283582089551,0.891791044776119,0.8880597014925371,0.006674829783581001,0.881793012513689,0.007691391794443001,0.040171876460758,0.016414445181455,InDomain
loss,8.853810124927097,9.917811314264933,8.194880803426107,9.68729618522856,8.244702339172363,0.8880597014925371,0.006674829783581001,0.881793012513689,0.007691391794443001,0.040171876460758,0.016414445181455,InDomain
ece-score,0.044426719199365,0.04687782365884301,0.020207508286433,0.065228329665625,0.024119001493525003,0.8880597014925371,0.006674829783581001,0.881793012513689,0.007691391794443001,0.040171876460758,0.016414445181455,InDomain
model,/home/cass/PycharmProjects/extract_rationales/models/complain/bert20.pt,/home/cass/PycharmProjects/extract_rationales/models/complain/bert25.pt,/home/cass/PycharmProjects/extract_rationales/models/complain/bert5.pt,/home/cass/PycharmProjects/extract_rationales/models/complain/bert10.pt,/home/cass/PycharmProjects/extract_rationales/models/complain/bert15.pt,0.8973782771535581,0.016849770605546002,0.8440892648244711,0.025902327469,0.043937605284572,0.01478015115507,OOD1
f1,0.8327067669172931,0.8043956043956041,0.8822958913771821,0.857836559964219,0.843211501468057,0.8973782771535581,0.016849770605546002,0.8440892648244711,0.025902327469,0.043937605284572,0.01478015115507,OOD1
accuracy,0.8876404494382021,0.8764044943820221,0.9250936329588011,0.9063670411985011,0.891385767790262,0.8973782771535581,0.016849770605546002,0.8440892648244711,0.025902327469,0.043937605284572,0.01478015115507,OOD1
loss,10.046532366010878,9.088963243696424,7.210544347763061,7.033688545227051,7.305460055669148,0.8973782771535581,0.016849770605546002,0.8440892648244711,0.025902327469,0.043937605284572,0.01478015115507,OOD1
ece-score,0.069221774290563,0.051980422230695,0.029586449544528003,0.03337929378288,0.035520086574197,0.8973782771535581,0.016849770605546002,0.8440892648244711,0.025902327469,0.043937605284572,0.01478015115507,OOD1
model,/home/cass/PycharmProjects/extract_rationales/models/complain/bert20.pt,/home/cass/PycharmProjects/extract_rationales/models/complain/bert25.pt,/home/cass/PycharmProjects/extract_rationales/models/complain/bert5.pt,/home/cass/PycharmProjects/extract_rationales/models/complain/bert10.pt,/home/cass/PycharmProjects/extract_rationales/models/complain/bert15.pt,0.8861423220973781,0.009050970766737,0.83916059195361,0.011177441830564001,0.046576809704526004,0.014540661320066001,OOD2
f1,0.8300175075600821,0.8585805084745761,0.828224551208882,0.844187675070027,0.834792717454484,0.8861423220973781,0.009050970766737,0.83916059195361,0.011177441830564001,0.046576809704526004,0.014540661320066001,OOD2
accuracy,0.8801498127340821,0.902621722846441,0.883895131086142,0.8876404494382021,0.8764044943820221,0.8861423220973781,0.009050970766737,0.83916059195361,0.011177441830564001,0.046576809704526004,0.014540661320066001,OOD2
loss,9.950289302402073,9.434893078274197,10.201063738928902,10.068941871325174,10.052724149492052,0.8861423220973781,0.009050970766737,0.83916059195361,0.011177441830564001,0.046576809704526004,0.014540661320066001,OOD2
ece-score,0.059231902106424004,0.027368858735659002,0.045078148779351006,0.066309223237555,0.034895915663644,0.8861423220973781,0.009050970766737,0.83916059195361,0.011177441830564001,0.046576809704526004,0.014540661320066001,OOD2
