,Similarity,Representations,Measure,Rep_Mea,Domain
0,0.23833833429320106,Term distribution,jensen-shannon,Term jensen-shannon,InDomain
1,46.60111573021313,Term distribution,renyi,Term renyi,InDomain
2,0.028196306730815968,Term distribution,cosine,Term cosine,InDomain
3,0.01660773764901113,Term distribution,euclidean,Term euclidean,InDomain
4,0.8656420198275658,Term distribution,variational,Term variational,InDomain
5,0.4026594631823476,Term distribution,bhattacharyya,Term bhattacharyya,InDomain
6,0.010242203250527382,Topic distribution,jensen-shannon,Topic jensen-shannon,InDomain
7,0.042596077837957526,Topic distribution,renyi,Topic renyi,InDomain
8,0.028803884983062744,Topic distribution,cosine,Topic cosine,InDomain
9,0.041545113258742675,Topic distribution,euclidean,Topic euclidean,InDomain
10,0.23483483493328094,Topic distribution,variational,Topic variational,InDomain
11,0.01034706924110651,Topic distribution,bhattacharyya,Topic bhattacharyya,InDomain
12,0.2679245722731687,Term distribution,jensen-shannon,Term jensen-shannon,OOD1
13,53.885162411017795,Term distribution,renyi,Term renyi,OOD1
14,0.03866912530782862,Term distribution,cosine,Term cosine,OOD1
15,0.020438375479603567,Term distribution,euclidean,Term euclidean,OOD1
16,0.9604515167031501,Term distribution,variational,Term variational,OOD1
17,0.4651079475136332,Term distribution,bhattacharyya,Term bhattacharyya,OOD1
18,0.013324663043022156,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1
19,0.055953176802364064,Topic distribution,renyi,Topic renyi,OOD1
20,0.04167211055755615,Topic distribution,cosine,Topic cosine,OOD1
21,0.05008132476563673,Topic distribution,euclidean,Topic euclidean,OOD1
22,0.2556608319282532,Topic distribution,variational,Topic variational,OOD1
23,0.013547278940677643,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1
24,0.2755380503669921,Term distribution,jensen-shannon,Term jensen-shannon,OOD2
25,53.70579980677387,Term distribution,renyi,Term renyi,OOD2
26,0.05281552906098552,Term distribution,cosine,Term cosine,OOD2
27,0.022237894384551878,Term distribution,euclidean,Term euclidean,OOD2
28,0.9853356027516447,Term distribution,variational,Term variational,OOD2
29,0.482835636254875,Term distribution,bhattacharyya,Term bhattacharyya,OOD2
30,0.01311324443668127,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2
31,0.05520477613725215,Topic distribution,renyi,Topic renyi,OOD2
32,0.03992962837219238,Topic distribution,cosine,Topic cosine,OOD2
33,0.046210814277450954,Topic distribution,euclidean,Topic euclidean,OOD2
34,0.23951390385627747,Topic distribution,variational,Topic variational,OOD2
35,0.013339705765247345,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2
