,kuma-bert20,kuma-bert10,kuma-bert25,kuma-bert5,kuma-bert15,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,domain
model,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert20.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert10.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert25.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert5.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert15.pt,0.623134328358209,0.021239178314563,0.46987295249306404,0.023630162666640003,0.108509136669671,0.017694716655518,InDomain
f1,0.44894541600423904,0.44894541600423904,0.497421472105016,0.49999076383116203,0.45406169452066103,0.623134328358209,0.021239178314563,0.46987295249306404,0.023630162666640003,0.108509136669671,0.017694716655518,InDomain
accuracy,0.6380597014925371,0.6380597014925371,0.5820895522388061,0.623134328358208,0.6343283582089551,0.623134328358209,0.021239178314563,0.46987295249306404,0.023630162666640003,0.108509136669671,0.017694716655518,InDomain
loss,21.469594531589085,21.77006170484755,22.5046198103163,22.189125484890408,22.101362228393555,0.623134328358209,0.021239178314563,0.46987295249306404,0.023630162666640003,0.108509136669671,0.017694716655518,InDomain
ece-score,0.10602196650718501,0.11776402192329201,0.075103291824682,0.120617701046502,0.12303870204669301,0.623134328358209,0.021239178314563,0.46987295249306404,0.023630162666640003,0.108509136669671,0.017694716655518,InDomain
model,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert20.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert10.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert25.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert5.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert15.pt,0.773033707865168,0.052786405775124,0.5179260787986021,0.060803010954128,0.257386117704798,0.047900673592725006,OOD1
f1,0.52121936640765,0.45694915254237206,0.532548145790227,0.6219645767103891,0.45694915254237206,0.773033707865168,0.052786405775124,0.5179260787986021,0.060803010954128,0.257386117704798,0.047900673592725006,OOD1
accuracy,0.820224719101123,0.7865168539325841,0.670411985018726,0.801498127340823,0.7865168539325841,0.773033707865168,0.052786405775124,0.5179260787986021,0.060803010954128,0.257386117704798,0.047900673592725006,OOD1
loss,20.644057167900932,21.300647523668076,22.391068352593315,22.181276745266384,21.86235788133409,0.773033707865168,0.052786405775124,0.5179260787986021,0.060803010954128,0.257386117704798,0.047900673592725006,OOD1
ece-score,0.2838195133745,0.264619776372159,0.164336960413929,0.29932583606198404,0.27482850230141903,0.773033707865168,0.052786405775124,0.5179260787986021,0.060803010954128,0.257386117704798,0.047900673592725006,OOD1
model,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert20.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert10.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert25.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert5.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/complain/kuma-bert15.pt,0.734082397003745,0.041503805774367006,0.522433908326852,0.054560584602080006,0.21835944273052102,0.037622296639879,OOD2
f1,0.509078372787864,0.44533222538272205,0.524720068906115,0.6158598510494241,0.517179023508137,0.734082397003745,0.041503805774367006,0.522433908326852,0.054560584602080006,0.21835944273052102,0.037622296639879,OOD2
accuracy,0.7602996254681641,0.756554307116104,0.651685393258427,0.745318352059925,0.756554307116104,0.734082397003745,0.041503805774367006,0.522433908326852,0.054560584602080006,0.21835944273052102,0.037622296639879,OOD2
loss,20.846072090996635,21.440060509575737,22.450249354044598,22.19363784790039,21.996960322062176,0.734082397003745,0.041503805774367006,0.522433908326852,0.054560584602080006,0.21835944273052102,0.037622296639879,OOD2
ece-score,0.223038556647211,0.23415184177262902,0.144905603333805,0.24299830086668703,0.24670291103227301,0.734082397003745,0.041503805774367006,0.522433908326852,0.054560584602080006,0.21835944273052102,0.037622296639879,OOD2
