Rationales_metrics,random,scaled attention,attention,deeplift,gradients,lime,Domain,thresholder
Sufficiency,0.6092820147426801,0.6522410670111111,0.5986897302692931,0.630766916742259,0.627286199828595,0.604589788270087,Full,topk
Comprehensiveness,0.257300411940495,0.451677293212819,0.253363996841654,0.32739083938281704,0.276055150051417,0.23041006198128303,Full,topk
AOPC_sufficiency,0.49376740394682306,0.539580308946068,0.5176145233774581,0.516527888228272,0.5160380031874381,0.494401339160954,Full,topk
AOPC_comprehensiveness,0.19122391711141,0.304051996305364,0.161248349001021,0.209762177731207,0.222168666804251,0.176447687406523,Full,topk
Sufficiency,0.530226679714593,0.5768634539914701,0.513933959889707,0.5148723375455101,0.470473181769461,0.49563385060274506,InDomain,topk
Comprehensiveness,0.19813639070758002,0.52892084237734,0.347763616077422,0.24349939717822602,0.31064689862260203,0.294684896543495,InDomain,topk
AOPC_sufficiency,0.437431474806086,0.48929732727456704,0.42981129147780606,0.42184365149503406,0.40719549516107,0.40572717141086,InDomain,topk
AOPC_comprehensiveness,0.17125990022873602,0.35882676655287304,0.238963746487788,0.20182704565526402,0.252907507351607,0.22942231010271602,InDomain,topk
Sufficiency,0.617559647022494,0.6359091402233941,0.617069525908091,0.610792373363226,0.6018371417576971,0.6246476477784011,OOD1,topk
Comprehensiveness,0.170274541205465,0.364402218819513,0.26721632358748704,0.27073939245161605,0.221745931494321,0.19324519433796802,OOD1,topk
AOPC_sufficiency,0.5008636856476191,0.520574743659873,0.512305269820448,0.51955159265573,0.503626750228246,0.519726823581959,OOD1,topk
AOPC_comprehensiveness,0.144269552245853,0.270264562991475,0.165577404089806,0.179552418164861,0.17932727274321703,0.157708878644258,OOD1,topk
Sufficiency,0.6591183697831351,0.666078858638926,0.65165668492478,0.675592273191644,0.632936370470045,0.6759095544677991,OOD2,topk
Comprehensiveness,0.182712943180485,0.301546499300582,0.21994576886219902,0.16551409007845103,0.16349039161689602,0.181065425834765,OOD2,topk
AOPC_sufficiency,0.540278957443878,0.5450814188762031,0.5393042366958221,0.5551869802002241,0.52889982165534,0.548245338615654,OOD2,topk
AOPC_comprehensiveness,0.142670777301143,0.23776579530708802,0.14253157178543102,0.13052377809867702,0.14692517111511,0.135358366828761,OOD2,topk
Sufficiency,0.560772512923835,0.5749542060493751,0.521954331421225,0.547628349900887,0.5537412755126,0.543372326372873,Full,contigious
Comprehensiveness,0.24237699091262702,0.352696916967141,0.24796002681592802,0.26231883514944504,0.247404132238032,0.240100851867066,Full,contigious
AOPC_sufficiency,0.463263706258193,0.48119897433555303,0.45100165818174404,0.46346504422175605,0.45512118496157106,0.452288928616892,Full,contigious
AOPC_comprehensiveness,0.182860521617792,0.266605020771972,0.17900247527339103,0.18234165548362102,0.19240112209702,0.19253187001349,Full,contigious
Sufficiency,0.5496835337051921,0.5780668908398271,0.5097489707360361,0.555837397765651,0.542783054842651,0.5528070640217411,InDomain,contigious
Comprehensiveness,0.184793833949421,0.25721480294159904,0.20331216066353403,0.17088860000597603,0.19749189417971602,0.20274949591461403,InDomain,contigious
AOPC_sufficiency,0.45329633851475004,0.47738398530850906,0.44220450775013204,0.44747456256511503,0.45726457204173704,0.45256430442135603,InDomain,contigious
AOPC_comprehensiveness,0.15828921627887602,0.210324450286304,0.15411064915140302,0.152678966635302,0.16729622970690802,0.159743872871824,InDomain,contigious
Sufficiency,0.6179361567210551,0.6661522545537181,0.590356870801609,0.6012185241565351,0.6161698236484511,0.6207842045131521,OOD1,contigious
Comprehensiveness,0.20062297869956003,0.332042902916079,0.21179058868612502,0.20784787853682102,0.19632063864992702,0.196573247051574,OOD1,contigious
AOPC_sufficiency,0.503413013191799,0.5424383246330821,0.49180903589704505,0.498199786156417,0.515593259155276,0.517919892960171,OOD1,contigious
AOPC_comprehensiveness,0.15314869244852802,0.251464583689547,0.134041753680192,0.16505740778699202,0.17210648529970002,0.16492595597360102,OOD1,contigious
Sufficiency,0.576569352495313,0.6948450675858211,0.646109344443448,0.6475825297604291,0.622787318290275,0.591871949789729,OOD2,contigious
Comprehensiveness,0.28914628686187505,0.42456612237190405,0.280081354670408,0.348095596844525,0.25920616534414503,0.227002059674092,OOD2,contigious
AOPC_sufficiency,0.49158656374170506,0.556351477501223,0.5274593513110051,0.5216641789456661,0.510777639286643,0.494786708935093,OOD2,contigious
AOPC_comprehensiveness,0.22709958636715102,0.31318539572296,0.191721544118753,0.24835865355888,0.207602452127255,0.16797016320193903,OOD2,contigious
