,Similarity,Representations,Measure,Rep_Mea,Domain,attribute_name,threshold
0,0.2515714666922527,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),scaled attention,topk
1,48.97103896454918,Term distribution,renyi,Term renyi,In Domain(Baseline),scaled attention,topk
2,0.04316689135544427,Term distribution,cosine,Term cosine,In Domain(Baseline),scaled attention,topk
3,0.02858253715730059,Term distribution,euclidean,Term euclidean,In Domain(Baseline),scaled attention,topk
4,0.9111298265772678,Term distribution,variational,Term variational,In Domain(Baseline),scaled attention,topk
5,0.43274655927780364,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),scaled attention,topk
6,0.013653825968503952,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),scaled attention,topk
7,0.05545001730274717,Topic distribution,renyi,Topic renyi,In Domain(Baseline),scaled attention,topk
8,0.043048739433288574,Topic distribution,cosine,Topic cosine,In Domain(Baseline),scaled attention,topk
9,0.05529938917720763,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),scaled attention,topk
10,0.27597445249557495,Topic distribution,variational,Topic variational,In Domain(Baseline),scaled attention,topk
11,0.013826628215610981,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),scaled attention,topk
12,0.2969971308419034,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,scaled attention,topk
13,56.04642573087329,Term distribution,renyi,Term renyi,OOD1,scaled attention,topk
14,0.07659409385297056,Term distribution,cosine,Term cosine,OOD1,scaled attention,topk
15,0.040165526445078675,Term distribution,euclidean,Term euclidean,OOD1,scaled attention,topk
16,1.054818447951819,Term distribution,variational,Term variational,OOD1,scaled attention,topk
17,0.5310349590661539,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,scaled attention,topk
18,0.01401970162987709,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,scaled attention,topk
19,0.05792841568262129,Topic distribution,renyi,Topic renyi,OOD1,scaled attention,topk
20,0.04431033134460449,Topic distribution,cosine,Topic cosine,OOD1,scaled attention,topk
21,0.057311144222416,Topic distribution,euclidean,Topic euclidean,OOD1,scaled attention,topk
22,0.2850012481212616,Topic distribution,variational,Topic variational,OOD1,scaled attention,topk
23,0.014197220094501972,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,scaled attention,topk
24,0.3092172403918967,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,scaled attention,topk
25,60.182025588175605,Term distribution,renyi,Term renyi,OOD2,scaled attention,topk
26,0.09807376983862726,Term distribution,cosine,Term cosine,OOD2,scaled attention,topk
27,0.05272015053987265,Term distribution,euclidean,Term euclidean,OOD2,scaled attention,topk
28,1.0906246748540656,Term distribution,variational,Term variational,OOD2,scaled attention,topk
29,0.5643047869918438,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,scaled attention,topk
30,0.015478409826755524,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,scaled attention,topk
31,0.06189929039070843,Topic distribution,renyi,Topic renyi,OOD2,scaled attention,topk
32,0.06798452138900757,Topic distribution,cosine,Topic cosine,OOD2,scaled attention,topk
33,0.06781592106923448,Topic distribution,euclidean,Topic euclidean,OOD2,scaled attention,topk
34,0.28148502111434937,Topic distribution,variational,Topic variational,OOD2,scaled attention,topk
35,0.01570379175245762,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,scaled attention,topk
36,0.28244947272055915,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),attention,topk
37,57.677072557838024,Term distribution,renyi,Term renyi,In Domain(Baseline),attention,topk
38,0.04667902868220675,Term distribution,cosine,Term cosine,In Domain(Baseline),attention,topk
39,0.03189918952847831,Term distribution,euclidean,Term euclidean,In Domain(Baseline),attention,topk
40,0.9930339293991683,Term distribution,variational,Term variational,In Domain(Baseline),attention,topk
41,0.5046674791070442,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),attention,topk
42,0.014530925080180168,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),attention,topk
43,0.0583469749641816,Topic distribution,renyi,Topic renyi,In Domain(Baseline),attention,topk
44,0.05087149143218994,Topic distribution,cosine,Topic cosine,In Domain(Baseline),attention,topk
45,0.05055738695766193,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),attention,topk
46,0.28332892060279846,Topic distribution,variational,Topic variational,In Domain(Baseline),attention,topk
47,0.014715108089148998,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),attention,topk
48,0.3490325403946559,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,attention,topk
49,71.54803649852191,Term distribution,renyi,Term renyi,OOD1,attention,topk
50,0.10674085432456559,Term distribution,cosine,Term cosine,OOD1,attention,topk
51,0.04589578816306785,Term distribution,euclidean,Term euclidean,OOD1,attention,topk
52,1.2030574245250722,Term distribution,variational,Term variational,OOD1,attention,topk
53,0.6656140176992025,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,attention,topk
54,0.016727153211832047,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,attention,topk
55,0.06893003014221499,Topic distribution,renyi,Topic renyi,OOD1,attention,topk
56,0.058426737785339355,Topic distribution,cosine,Topic cosine,OOD1,attention,topk
57,0.05725336903134789,Topic distribution,euclidean,Topic euclidean,OOD1,attention,topk
58,0.3124767541885376,Topic distribution,variational,Topic variational,OOD1,attention,topk
59,0.016980597749352455,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,attention,topk
60,0.3549214581011021,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,attention,topk
61,73.56461013916636,Term distribution,renyi,Term renyi,OOD2,attention,topk
62,0.11845176176551064,Term distribution,cosine,Term cosine,OOD2,attention,topk
63,0.04799643312865012,Term distribution,euclidean,Term euclidean,OOD2,attention,topk
64,1.2124741228683882,Term distribution,variational,Term variational,OOD2,attention,topk
65,0.685494698107568,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,attention,topk
66,0.014371706172823906,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,attention,topk
67,0.05854131433929253,Topic distribution,renyi,Topic renyi,OOD2,attention,topk
68,0.058893561363220215,Topic distribution,cosine,Topic cosine,OOD2,attention,topk
69,0.05630406967987478,Topic distribution,euclidean,Topic euclidean,OOD2,attention,topk
70,0.27647194266319275,Topic distribution,variational,Topic variational,OOD2,attention,topk
71,0.014579079113900661,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,attention,topk
72,0.24339844261064866,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),lime,topk
73,49.54967873189664,Term distribution,renyi,Term renyi,In Domain(Baseline),lime,topk
74,0.052179390050205554,Term distribution,cosine,Term cosine,In Domain(Baseline),lime,topk
75,0.03508654373437109,Term distribution,euclidean,Term euclidean,In Domain(Baseline),lime,topk
76,0.905051341622233,Term distribution,variational,Term variational,In Domain(Baseline),lime,topk
77,0.41183976218352536,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),lime,topk
78,0.011244291439652443,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),lime,topk
79,0.043883398502605676,Topic distribution,renyi,Topic renyi,In Domain(Baseline),lime,topk
80,0.05377495288848877,Topic distribution,cosine,Topic cosine,In Domain(Baseline),lime,topk
81,0.05254198733156506,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),lime,topk
82,0.23497852683067322,Topic distribution,variational,Topic variational,In Domain(Baseline),lime,topk
83,0.011376655660569668,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),lime,topk
84,0.2708252907523163,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,lime,topk
85,54.37018125848585,Term distribution,renyi,Term renyi,OOD1,lime,topk
86,0.06119878645379184,Term distribution,cosine,Term cosine,OOD1,lime,topk
87,0.03414492600458528,Term distribution,euclidean,Term euclidean,OOD1,lime,topk
88,0.9805138094140169,Term distribution,variational,Term variational,OOD1,lime,topk
89,0.46763034602930337,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,lime,topk
90,0.01010633073747158,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,lime,topk
91,0.04059108230097321,Topic distribution,renyi,Topic renyi,OOD1,lime,topk
92,0.0386318564414978,Topic distribution,cosine,Topic cosine,OOD1,lime,topk
93,0.04342686082529267,Topic distribution,euclidean,Topic euclidean,OOD1,lime,topk
94,0.2369718998670578,Topic distribution,variational,Topic variational,OOD1,lime,topk
95,0.010196398012340069,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,lime,topk
96,0.27893677694109953,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,lime,topk
97,55.35995887766405,Term distribution,renyi,Term renyi,OOD2,lime,topk
98,0.10473271449977584,Term distribution,cosine,Term cosine,OOD2,lime,topk
99,0.04777141602270084,Term distribution,euclidean,Term euclidean,OOD2,lime,topk
100,1.041823185192361,Term distribution,variational,Term variational,OOD2,lime,topk
101,0.4864242695626046,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,lime,topk
102,0.013201270252466202,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,lime,topk
103,0.05206210847424666,Topic distribution,renyi,Topic renyi,OOD2,lime,topk
104,0.05979108810424805,Topic distribution,cosine,Topic cosine,OOD2,lime,topk
