,15,5,10,25,20,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,domain
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck_full/bert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck_full/bert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck_full/bert10.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck_full/bert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck_full/bert20.pt,0.8556610664718771,0.008929558387106,0.710470863306875,0.039926079237577,0.027221765302235003,0.005205045564054001,Full size
f1,0.7414638230574221,0.6585004004358841,0.668121212121212,0.7581080007941231,0.7261608801257321,0.8556610664718771,0.008929558387106,0.710470863306875,0.039926079237577,0.027221765302235003,0.005205045564054001,Full size
accuracy,0.851716581446311,0.847333820306793,0.847333820306793,0.8699780861943021,0.8619430241051861,0.8556610664718771,0.008929558387106,0.710470863306875,0.039926079237577,0.027221765302235003,0.005205045564054001,Full size
loss,10.480480471322704,10.66100207594938,10.781494013098783,9.723207091176233,10.293065614478532,0.8556610664718771,0.008929558387106,0.710470863306875,0.039926079237577,0.027221765302235003,0.005205045564054001,Full size
ece-score,0.017750071425608003,0.031029514015983,0.026695095900639003,0.032747229622436,0.027886915546512,0.8556610664718771,0.008929558387106,0.710470863306875,0.039926079237577,0.027221765302235003,0.005205045564054001,Full size
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert10.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert20.pt,0.86880934989043,0.006293837612428001,0.6737516597020381,0.07635579986150301,0.039382541841447,0.010762181751882,InDomain
f1,0.7098480450428031,0.702047682109433,0.5220260411620721,0.7277434471487091,0.707093083047171,0.86880934989043,0.006293837612428001,0.6737516597020381,0.07635579986150301,0.039382541841447,0.010762181751882,InDomain
accuracy,0.8655953250547841,0.870708546384222,0.8604821037253471,0.8794740686632571,0.8677867056245431,0.86880934989043,0.006293837612428001,0.6737516597020381,0.07635579986150301,0.039382541841447,0.010762181751882,InDomain
loss,11.035673978716828,10.086960432141327,10.185497261757074,9.634063504463018,9.53572940826416,0.86880934989043,0.006293837612428001,0.6737516597020381,0.07635579986150301,0.039382541841447,0.010762181751882,InDomain
ece-score,0.05893872814338601,0.039219400715531004,0.029392633149012002,0.039811469630832,0.029550477568471,0.86880934989043,0.006293837612428001,0.6737516597020381,0.07635579986150301,0.039382541841447,0.010762181751882,InDomain
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert10.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert20.pt,0.8141812865497071,0.017282408559994,0.669822854609815,0.088526026210759,0.082853861187982,0.011988341437898,OOD1
f1,0.7095505409123011,0.7064814569651301,0.49406218961164505,0.7048012069894101,0.7342188785705891,0.8141812865497071,0.017282408559994,0.669822854609815,0.088526026210759,0.082853861187982,0.011988341437898,OOD1
accuracy,0.812134502923976,0.8282163742690051,0.781432748538011,0.8230994152046781,0.8260233918128651,0.8141812865497071,0.017282408559994,0.669822854609815,0.088526026210759,0.082853861187982,0.011988341437898,OOD1
loss,14.354504097339719,13.56654909599659,14.728106487629026,14.813737203908522,12.555190352506417,0.8141812865497071,0.017282408559994,0.669822854609815,0.088526026210759,0.082853861187982,0.011988341437898,OOD1
ece-score,0.09457416305242201,0.077489305265814,0.09194714414794501,0.08836629642554801,0.06189239704818,0.8141812865497071,0.017282408559994,0.669822854609815,0.088526026210759,0.082853861187982,0.011988341437898,OOD1
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert10.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/factcheck/bert20.pt,0.7671052631578941,0.036906446184650006,0.6750814587414491,0.10523051414286101,0.10062977502569101,0.029317464413306002,OOD2
f1,0.752289558858748,0.718155818850372,0.466675620320316,0.7083044225660261,0.7299818731117821,0.7671052631578941,0.036906446184650006,0.6750814587414491,0.10523051414286101,0.10062977502569101,0.029317464413306002,OOD2
accuracy,0.796052631578947,0.784356725146198,0.6944444444444441,0.775584795321637,0.7850877192982451,0.7671052631578941,0.036906446184650006,0.6750814587414491,0.10523051414286101,0.10062977502569101,0.029317464413306002,OOD2
loss,15.127381058626396,15.710078139637792,18.763980599336847,16.562398389328358,14.431502807972043,0.7671052631578941,0.036906446184650006,0.6750814587414491,0.10523051414286101,0.10062977502569101,0.029317464413306002,OOD2
ece-score,0.082582682240427,0.088179682648321,0.155249438874902,0.10503989828434601,0.072097173080458,0.7671052631578941,0.036906446184650006,0.6750814587414491,0.10523051414286101,0.10062977502569101,0.029317464413306002,OOD2
