,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,Domain,attribute_name,threshold
0,0.835938641344046,0.005927089196523,0.642395588654309,0.030120654593952002,0.02442811742327,0.006950687708812001,Full,gradients,topk
1,0.8502556610664711,0.004000895233784,0.532010758855589,0.043481404691964,0.034762249870662,0.004228058610367001,SynD,gradients,topk
2,0.7711988304093561,0.0011324512708200001,0.45854342105963103,0.023688295651286002,0.118297454967484,0.005788805411793,AsyD1,gradients,topk
3,0.680263157894736,0.005711118416556,0.42772329813061705,0.026690498518474003,0.19367212004828802,0.013583167435910001,AsyD2,gradients,topk
0,0.89963476990504,0.0021471056912630002,0.8394110016798101,0.002814342166693,0.012734940254052002,0.004536616175484,Full,deeplift,topk
1,0.8502556610664711,0.003947189506532001,0.646897298010172,0.009898662163851001,0.048210871036771005,0.013079084486577,SynD,deeplift,topk
2,0.8074561403508771,0.0036285595456110003,0.6702772414675181,0.012812186731068001,0.088537265220929,0.011961824521137001,AsyD1,deeplift,topk
3,0.7423976608187131,0.0070661087564880005,0.657283118430393,0.015482351102359002,0.13049022975372201,0.013419212369134001,AsyD2,deeplift,topk
0,0.8615047479912341,0.002637760421514,0.771093864638772,0.0042849998577360006,0.057404640889498,0.009651833180663,Full,scaled_attention,topk
1,0.874068663257852,0.000876552227903,0.7181524368971071,0.002346425063782,0.06611026472380001,0.011796555838525001,SynD,scaled_attention,topk
2,0.8219298245614031,0.0005847953216370001,0.7213067021974311,0.00037157588419300003,0.11557782325479701,0.012905745583830001,AsyD1,scaled_attention,topk
3,0.7915204678362571,0.0008524783471990001,0.742433401580677,0.001288409093903,0.13372701589475602,0.016688037064767,AsyD2,scaled_attention,topk
