,kuma-bert20,kuma-bert10,kuma-bert25,kuma-bert5,kuma-bert15,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,domain
model,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert20.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert10.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert25.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert5.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert15.pt,0.838276113951789,0.026880934989043002,0.47480967559847603,0.027339539455906003,0.298953471695793,0.015471527797117001,InDomain
f1,0.5293597343890021,0.45996055226824406,0.45996055226824406,0.45996055226824406,0.464806986798648,0.838276113951789,0.026880934989043002,0.47480967559847603,0.027339539455906003,0.298953471695793,0.015471527797117001,InDomain
accuracy,0.7845142439737031,0.851716581446311,0.851716581446311,0.851716581446311,0.851716581446311,0.838276113951789,0.026880934989043002,0.47480967559847603,0.027339539455906003,0.298953471695793,0.015471527797117001,InDomain
loss,21.93157089588254,20.649864108063454,19.502141375874363,20.497329534486283,20.512397189472996,0.838276113951789,0.026880934989043002,0.47480967559847603,0.027339539455906003,0.298953471695793,0.015471527797117001,InDomain
ece-score,0.27779984034440003,0.314240935904166,0.282613752879218,0.30902658848104203,0.31108624087013903,0.838276113951789,0.026880934989043002,0.47480967559847603,0.027339539455906003,0.298953471695793,0.015471527797117001,InDomain
model,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert20.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert10.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert25.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert5.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert15.pt,0.762865497076023,0.01812865497076,0.45043755239109906,0.029587976069326002,0.22484791339838,0.01504517258831,OOD1
f1,0.5096135045297531,0.43564356435643503,0.43564356435643503,0.43564356435643503,0.43564356435643503,0.762865497076023,0.01812865497076,0.45043755239109906,0.029587976069326002,0.22484791339838,0.01504517258831,OOD1
accuracy,0.726608187134502,0.771929824561403,0.771929824561403,0.771929824561403,0.771929824561403,0.762865497076023,0.01812865497076,0.45043755239109906,0.029587976069326002,0.22484791339838,0.01504517258831,OOD1
loss,21.93926695890205,21.111548179803894,20.115469466808232,21.088192429653432,21.009975122850996,0.762865497076023,0.01812865497076,0.45043755239109906,0.029587976069326002,0.22484791339838,0.01504517258831,OOD1
ece-score,0.218070835049389,0.23734893819742,0.198218783004242,0.23628988286905103,0.23431112787179703,0.762865497076023,0.01812865497076,0.45043755239109906,0.029587976069326002,0.22484791339838,0.01504517258831,OOD1
model,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert20.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert10.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert25.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert5.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/factcheck/kuma-bert15.pt,0.66812865497076,0.012795530109380001,0.414854445420613,0.024077801866201003,0.12980227491311802,0.014406297797668001,OOD2
f1,0.46300962558087805,0.40288083806198105,0.40288083806198105,0.40288083806198105,0.40262008733624405,0.66812865497076,0.012795530109380001,0.414854445420613,0.024077801866201003,0.12980227491311802,0.014406297797668001,OOD2
accuracy,0.6425438596491221,0.674707602339181,0.674707602339181,0.674707602339181,0.673976608187134,0.66812865497076,0.012795530109380001,0.414854445420613,0.024077801866201003,0.12980227491311802,0.014406297797668001,OOD2
loss,21.999455119288246,21.541379529376364,21.076795178790427,21.54788203572118,21.51485886684684,0.66812865497076,0.012795530109380001,0.414854445420613,0.024077801866201003,0.12980227491311802,0.014406297797668001,OOD2
ece-score,0.132228858638228,0.139439832048806,0.101427280763436,0.138579796629342,0.137335606485779,0.66812865497076,0.012795530109380001,0.414854445420613,0.024077801866201003,0.12980227491311802,0.014406297797668001,OOD2
