,Rationales_metrics,attention,scaled attention,deepliftshap,ig,deeplift,gradientshap,random,gradients,lime,Domain,thresholder,mean-f1,Task
0,Sufficiency,0.707608936773914,0.7934391786288321,0.18402137676745,0.296135347995424,0.183655799520033,0.155983679330284,0.147680260214504,0.257355666222045,0.221749728805085,SynD,topk,0.710694963549325,Factcheck
1,Comprehensiveness,0.7443734418143031,0.797617384576342,0.245820946186777,0.475428624312867,0.350831554239654,0.213752137607488,0.200526321568076,0.458783635916187,0.211995694845819,SynD,topk,0.710694963549325,Factcheck
2,AOPC_sufficiency,0.428876067025535,0.500745135347965,0.202599018130972,0.264248290407095,0.209181553942446,0.18342349551247,0.178868239950342,0.25210342399034,0.189269400154458,SynD,topk,0.710694963549325,Factcheck
3,AOPC_comprehensiveness,0.500780462738989,0.533279600170622,0.21652561932026,0.367081067822563,0.284404384733243,0.203144296508063,0.187250123279863,0.365085670982771,0.180126168807742,SynD,topk,0.710694963549325,Factcheck
4,Sufficiency,0.707608936773914,0.7934391786288321,0.18402137676745,0.296135347995424,0.183655799520033,0.155983679330284,0.147680260214504,0.257355666222045,0.221749728805085,SynD,contigious,0.710694963549325,Factcheck
5,Comprehensiveness,0.7443734418143031,0.797617384576342,0.245820946186777,0.475428624312867,0.350831554239654,0.213752137607488,0.200526321568076,0.458783635916187,0.211995694845819,SynD,contigious,0.710694963549325,Factcheck
6,AOPC_sufficiency,0.428876067025535,0.500745135347965,0.202599018130972,0.264248290407095,0.209181553942446,0.18342349551247,0.178868239950342,0.25210342399034,0.189269400154458,SynD,contigious,0.710694963549325,Factcheck
7,AOPC_comprehensiveness,0.500780462738989,0.533279600170622,0.21652561932026,0.367081067822563,0.284404384733243,0.203144296508063,0.187250123279863,0.365085670982771,0.180126168807742,SynD,contigious,0.710694963549325,Factcheck
8,Sufficiency,0.300922647113346,0.310437543029733,0.19787917457949,0.245097232235441,0.188780505592371,0.152996440462725,0.224181762720823,0.201892665681208,0.297469152400005,AsyD1,topk,0.706456512772858,Factcheck
9,Comprehensiveness,0.293796365002673,0.256092925121775,0.231563201356307,0.199458366572519,0.167303706928069,0.189555563006485,0.208135975109744,0.278408262247087,0.235274337772041,AsyD1,topk,0.706456512772858,Factcheck
10,AOPC_sufficiency,0.257040917000845,0.247043734818132,0.195857226864722,0.214456514527474,0.20256336661977,0.189783936501481,0.214683556279276,0.206256401414016,0.222293478635411,AsyD1,topk,0.706456512772858,Factcheck
11,AOPC_comprehensiveness,0.219278767592166,0.193001023030269,0.225178247407322,0.183091015303142,0.164742759570076,0.196831198867493,0.195651926033462,0.215037419261343,0.200545853103751,AsyD1,topk,0.706456512772858,Factcheck
12,Sufficiency,0.300922647113346,0.310437543029733,0.19787917457949,0.245097232235441,0.188780505592371,0.152996440462725,0.224181762720823,0.201892665681208,0.297469152400005,AsyD1,contigious,0.706456512772858,Factcheck
13,Comprehensiveness,0.293796365002673,0.256092925121775,0.231563201356307,0.199458366572519,0.167303706928069,0.189555563006485,0.208135975109744,0.278408262247087,0.235274337772041,AsyD1,contigious,0.706456512772858,Factcheck
14,AOPC_sufficiency,0.257040917000845,0.247043734818132,0.195857226864722,0.214456514527474,0.20256336661977,0.189783936501481,0.214683556279276,0.206256401414016,0.222293478635411,AsyD1,contigious,0.706456512772858,Factcheck
15,AOPC_comprehensiveness,0.219278767592166,0.193001023030269,0.225178247407322,0.183091015303142,0.164742759570076,0.196831198867493,0.195651926033462,0.215037419261343,0.200545853103751,AsyD1,contigious,0.706456512772858,Factcheck
16,Sufficiency,0.24186809190812,0.298890568899419,0.178730917086186,0.297697332463907,0.19077041492278,0.189621465498312,0.194240982783602,0.265516522768911,0.307213149297869,AsyD2,topk,0.7352927405581821,Factcheck
17,Comprehensiveness,0.299855049292075,0.259211918911259,0.295029748317698,0.205916390378147,0.168311280196124,0.185553703664702,0.237291402487925,0.271831560858059,0.22180260460473,AsyD2,topk,0.7352927405581821,Factcheck
18,AOPC_sufficiency,0.215744841174112,0.239908330203068,0.205918278117086,0.235161252872593,0.190473824845623,0.183694023513477,0.191081802708944,0.232856515339715,0.236608272447653,AsyD2,topk,0.7352927405581821,Factcheck
19,AOPC_comprehensiveness,0.228547125039987,0.206501652766227,0.202816938118244,0.177512197028873,0.16088100815511,0.190830159991616,0.194161706134308,0.193941238044294,0.194270244058482,AsyD2,topk,0.7352927405581821,Factcheck
20,Sufficiency,0.24186809190812,0.298890568899419,0.178730917086186,0.297697332463907,0.19077041492278,0.189621465498312,0.194240982783602,0.265516522768911,0.307213149297869,AsyD2,contigious,0.7352927405581821,Factcheck
21,Comprehensiveness,0.299855049292075,0.259211918911259,0.295029748317698,0.205916390378147,0.168311280196124,0.185553703664702,0.237291402487925,0.271831560858059,0.22180260460473,AsyD2,contigious,0.7352927405581821,Factcheck
22,AOPC_sufficiency,0.215744841174112,0.239908330203068,0.205918278117086,0.235161252872593,0.190473824845623,0.183694023513477,0.191081802708944,0.232856515339715,0.236608272447653,AsyD2,contigious,0.7352927405581821,Factcheck
23,AOPC_comprehensiveness,0.228547125039987,0.206501652766227,0.202816938118244,0.177512197028873,0.16088100815511,0.190830159991616,0.194161706134308,0.193941238044294,0.194270244058482,AsyD2,contigious,0.7352927405581821,Factcheck
