Rationales_metrics,attention,scaled attention,deepliftshap,ig,deeplift,gradientshap,random,gradients,lime,Domain,thresholder
Sufficiency,0.704439852441566,0.789358623835387,0.298037506651445,0.308064953741269,0.344186123719384,0.280721035465603,0.28463481143732905,0.297193183984373,0.39782127325459804,Full,topk
Comprehensiveness,0.5264973683244051,0.737366830524661,0.145960284002589,0.312345148760448,0.147930739234512,0.13826143124440202,0.13026938879883102,0.29865854008909404,0.13651410671917702,Full,topk
AOPC_sufficiency,0.450923132914182,0.523355055801175,0.269636786280744,0.288669417031638,0.287563708280605,0.25694002584298203,0.261114731980899,0.285454231691229,0.310913949234194,Full,topk
AOPC_comprehensiveness,0.38350265701577,0.523568699501867,0.12387317784047701,0.255073026884775,0.141762568756233,0.11987295991445801,0.11222264627190601,0.250643937025171,0.12512835852301202,Full,topk
Sufficiency,0.7576693102781751,0.824010232815918,0.198335364172457,0.26122525261463003,0.19101691150372901,0.199172170115813,0.19258877379487602,0.23933477698628702,,InDomain,topk
Comprehensiveness,0.7164948610421421,0.8362512897323251,0.21947751088970502,0.471714129732248,0.326303057492046,0.18368848386674302,0.161606655268723,0.46178248530257204,,InDomain,topk
AOPC_sufficiency,0.48210314339300103,0.5379417533789821,0.230567268449613,0.282974961243384,0.224295726669093,0.230365972850007,0.22182995639206501,0.276278688125945,,InDomain,topk
AOPC_comprehensiveness,0.5014311149718961,0.573751458480064,0.19947488998089002,0.368436366084939,0.26839955161920404,0.18015619271796002,0.16275414811618003,0.36414878759019803,,InDomain,topk
Sufficiency,0.753963463895973,0.8187775627426681,0.22200327662362002,0.29425626225628304,0.223442249959859,0.22839645606413203,0.21956704303930202,0.263865379756415,,OOD1,topk
Comprehensiveness,0.698279897558575,0.8659837194933201,0.215852601172792,0.46675564527358,0.316949272107578,0.18740953181660602,0.175257596311462,0.46070391420608603,,OOD1,topk
AOPC_sufficiency,0.48653539414814,0.537763071748349,0.24429398120630802,0.292979738340348,0.241282240735184,0.24429833246179503,0.238159105850919,0.283724222359204,,OOD1,topk
AOPC_comprehensiveness,0.504304546056176,0.591030551126563,0.195233333656492,0.36608902603464705,0.264974237904736,0.17474291805313902,0.165005385336461,0.36249522244249605,,OOD1,topk
Sufficiency,0.7027644909149721,0.772945507384031,0.264837302879254,0.31442145152641204,0.26907495243683305,0.266145641936923,0.25708708709279804,0.307273261946786,,OOD2,topk
Comprehensiveness,0.690045298628698,0.8722792152537121,0.24993564273796,0.490377015105795,0.37425009800145903,0.22828626134534402,0.206716552165839,0.490896071439863,,OOD2,topk
AOPC_sufficiency,0.46542259732622104,0.521958258854179,0.261590411725857,0.30355681170860305,0.26031149325907205,0.262006650174163,0.25732207985327005,0.30054120085610103,,OOD2,topk
AOPC_comprehensiveness,0.49767170113402903,0.604266350670785,0.220610740821153,0.37624201625624504,0.29390179124003,0.20360771622495702,0.187963831626716,0.37888312902014903,,OOD2,topk
Sufficiency,0.704439852441566,0.789358623835387,0.298037506651445,0.308064953741269,0.344186123719384,0.280721035465603,0.28463481143732905,0.297193183984373,0.39782127325459804,Full,contigious
Comprehensiveness,0.5264973683244051,0.737366830524661,0.145960284002589,0.312345148760448,0.147930739234512,0.13826143124440202,0.13026938879883102,0.29865854008909404,0.13651410671917702,Full,contigious
AOPC_sufficiency,0.450923132914182,0.523355055801175,0.269636786280744,0.288669417031638,0.287563708280605,0.25694002584298203,0.261114731980899,0.285454231691229,0.310913949234194,Full,contigious
AOPC_comprehensiveness,0.38350265701577,0.523568699501867,0.12387317784047701,0.255073026884775,0.141762568756233,0.11987295991445801,0.11222264627190601,0.250643937025171,0.12512835852301202,Full,contigious
Sufficiency,0.7576693102781751,0.824010232815918,0.198335364172457,0.26122525261463003,0.19101691150372901,0.199172170115813,0.19258877379487602,0.23933477698628702,,InDomain,contigious
Comprehensiveness,0.7164948610421421,0.8362512897323251,0.21947751088970502,0.471714129732248,0.326303057492046,0.18368848386674302,0.161606655268723,0.46178248530257204,,InDomain,contigious
AOPC_sufficiency,0.48210314339300103,0.5379417533789821,0.230567268449613,0.282974961243384,0.224295726669093,0.230365972850007,0.22182995639206501,0.276278688125945,,InDomain,contigious
AOPC_comprehensiveness,0.5014311149718961,0.573751458480064,0.19947488998089002,0.368436366084939,0.26839955161920404,0.18015619271796002,0.16275414811618003,0.36414878759019803,,InDomain,contigious
Sufficiency,0.753963463895973,0.8187775627426681,0.22200327662362002,0.29425626225628304,0.223442249959859,0.22839645606413203,0.21956704303930202,0.263865379756415,,OOD1,contigious
Comprehensiveness,0.698279897558575,0.8659837194933201,0.215852601172792,0.46675564527358,0.316949272107578,0.18740953181660602,0.175257596311462,0.46070391420608603,,OOD1,contigious
AOPC_sufficiency,0.48653539414814,0.537763071748349,0.24429398120630802,0.292979738340348,0.241282240735184,0.24429833246179503,0.238159105850919,0.283724222359204,,OOD1,contigious
AOPC_comprehensiveness,0.504304546056176,0.591030551126563,0.195233333656492,0.36608902603464705,0.264974237904736,0.17474291805313902,0.165005385336461,0.36249522244249605,,OOD1,contigious
Sufficiency,0.7027644909149721,0.772945507384031,0.264837302879254,0.31442145152641204,0.26907495243683305,0.266145641936923,0.25708708709279804,0.307273261946786,,OOD2,contigious
Comprehensiveness,0.690045298628698,0.8722792152537121,0.24993564273796,0.490377015105795,0.37425009800145903,0.22828626134534402,0.206716552165839,0.490896071439863,,OOD2,contigious
AOPC_sufficiency,0.46542259732622104,0.521958258854179,0.261590411725857,0.30355681170860305,0.26031149325907205,0.262006650174163,0.25732207985327005,0.30054120085610103,,OOD2,contigious
AOPC_comprehensiveness,0.49767170113402903,0.604266350670785,0.220610740821153,0.37624201625624504,0.29390179124003,0.20360771622495702,0.187963831626716,0.37888312902014903,,OOD2,contigious
