,Similarity,Representations,Measure,Rep_Mea,Domain,attribute_name,threshold
0,0.04441834877531442,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),scaled attention,topk
1,7.16348818634197,Term distribution,renyi,Term renyi,In Domain(Baseline),scaled attention,topk
2,0.001059050778148718,Term distribution,cosine,Term cosine,In Domain(Baseline),scaled attention,topk
3,0.005553070353269164,Term distribution,euclidean,Term euclidean,In Domain(Baseline),scaled attention,topk
4,0.24703035190250713,Term distribution,variational,Term variational,In Domain(Baseline),scaled attention,topk
5,0.061038840648150766,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),scaled attention,topk
6,0.004805415868759155,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),scaled attention,topk
7,0.01971061062840225,Topic distribution,renyi,Topic renyi,In Domain(Baseline),scaled attention,topk
8,0.005878090858459473,Topic distribution,cosine,Topic cosine,In Domain(Baseline),scaled attention,topk
9,0.033201433939961715,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),scaled attention,topk
10,0.14150573313236237,Topic distribution,variational,Topic variational,In Domain(Baseline),scaled attention,topk
11,0.004837811458855867,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),scaled attention,topk
12,0.07482846732096435,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,scaled attention,topk
13,8.395967223960643,Term distribution,renyi,Term renyi,OOD1,scaled attention,topk
14,0.019817423005276558,Term distribution,cosine,Term cosine,OOD1,scaled attention,topk
15,0.02303666416145522,Term distribution,euclidean,Term euclidean,OOD1,scaled attention,topk
16,0.43545781716072257,Term distribution,variational,Term variational,OOD1,scaled attention,topk
17,0.09862960205993597,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,scaled attention,topk
18,0.015422992408275604,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,scaled attention,topk
19,0.0627886302868558,Topic distribution,renyi,Topic renyi,OOD1,scaled attention,topk
20,0.03654766082763672,Topic distribution,cosine,Topic cosine,OOD1,scaled attention,topk
21,0.074310521850547,Topic distribution,euclidean,Topic euclidean,OOD1,scaled attention,topk
22,0.2964528203010559,Topic distribution,variational,Topic variational,OOD1,scaled attention,topk
23,0.015641309320926666,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,scaled attention,topk
24,0.08533254460135475,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,scaled attention,topk
25,8.42639312882629,Term distribution,renyi,Term renyi,OOD2,scaled attention,topk
26,0.02443576370276923,Term distribution,cosine,Term cosine,OOD2,scaled attention,topk
27,0.025715101176646632,Term distribution,euclidean,Term euclidean,OOD2,scaled attention,topk
28,0.4834588832571679,Term distribution,variational,Term variational,OOD2,scaled attention,topk
29,0.11311060843397734,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,scaled attention,topk
30,0.0344097763299942,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,scaled attention,topk
31,0.14846979126191195,Topic distribution,renyi,Topic renyi,OOD2,scaled attention,topk
32,0.12452566623687744,Topic distribution,cosine,Topic cosine,OOD2,scaled attention,topk
33,0.12549533437840568,Topic distribution,euclidean,Topic euclidean,OOD2,scaled attention,topk
34,0.39506232738494873,Topic distribution,variational,Topic variational,OOD2,scaled attention,topk
35,0.03577946871519089,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,scaled attention,topk
36,0.047526368582348336,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),attention,topk
37,7.72215613303362,Term distribution,renyi,Term renyi,In Domain(Baseline),attention,topk
38,0.0004946182830286583,Term distribution,cosine,Term cosine,In Domain(Baseline),attention,topk
39,0.004487311435433224,Term distribution,euclidean,Term euclidean,In Domain(Baseline),attention,topk
40,0.2521074611042366,Term distribution,variational,Term variational,In Domain(Baseline),attention,topk
41,0.06527322629029556,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),attention,topk
42,0.00452052615582943,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),attention,topk
43,0.018714503117920032,Topic distribution,renyi,Topic renyi,In Domain(Baseline),attention,topk
44,0.005307614803314209,Topic distribution,cosine,Topic cosine,In Domain(Baseline),attention,topk
45,0.031426619986483884,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),attention,topk
46,0.12738917768001556,Topic distribution,variational,Topic variational,In Domain(Baseline),attention,topk
47,0.004547968506813049,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),attention,topk
48,0.07766828132468302,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,attention,topk
49,9.509758053364674,Term distribution,renyi,Term renyi,OOD1,attention,topk
50,0.013992633117708597,Term distribution,cosine,Term cosine,OOD1,attention,topk
51,0.0240465401414323,Term distribution,euclidean,Term euclidean,OOD1,attention,topk
52,0.4403143807701813,Term distribution,variational,Term variational,OOD1,attention,topk
53,0.10177634314365643,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,attention,topk
