,Task,Domain,BERT F1,BERT std,scaled attention f1,scaled attention,deeplift f1,deeplift,gradients f1,gradients
0,agnews,Full,90.823276003224,0.2501723004924,90.0963529940092,0.11223745805930001,89.7295881819156,0.1046640248424,83.0795968411204,0.3441069572452
1,agnews,SynD,89.1472038381489,0.5468678806846001,87.0113995855643,0.5634232223911,86.74292913221511,0.37618182166909997,81.46469927700541,0.600968310082
2,agnews,AsyD1,87.4631284404503,0.6572831048340001,84.57201998546061,0.7661862231555,83.60062829107481,0.9234729922624999,74.9712314707162,1.3069601683549001
3,agnews,AsyD2,85.54671901224481,0.4710645364709,83.3421586985969,0.3388075995319,81.60840698539761,0.8877702034379,73.7047739357814,1.7433264179484
0,xfact,Full,37.4447641796258,2.9010556975794,29.926101696195,4.168309495530901,35.8478923904638,2.2012065295011998,29.0464079050678,1.2991103637075
1,xfact,SynD,38.2289088704925,2.4182638194412003,32.5006359412909,1.6692323246704,28.264491422052203,5.0531810775431,27.1976594320741,1.9560578232939
2,xfact,AsyD1,37.4372055971775,1.7689322541963002,32.5632333023884,2.8213811219041,21.4365898458449,2.4224043381822,18.3306500083277,2.2037558063887
3,xfact,AsyD2,38.166340133946704,1.7003664677463,30.032152354455,2.5581249661398,21.6189964840475,2.9494308606341,24.3755596605323,1.427980741572
0,factcheck,Full,74.41904566095,3.209295741399,77.1093864638772,0.4284999857736,83.941100167981,0.2814342166693,64.23955886543091,3.0120654593952
1,factcheck,SynD,71.06949635493251,1.8522744656805,71.81524368971071,0.23464250637820003,64.68972980101721,0.9898662163851,53.2010758855589,4.3481404691964
2,factcheck,AsyD1,70.64565127728581,2.7055135334885003,72.13067021974311,0.037157588419299996,67.02772414675181,1.2812186731067998,45.8543421059631,2.3688295651285998
3,factcheck,AsyD2,73.5292740558182,1.6968216851146003,74.24334015806771,0.12884090939030002,65.7283118430393,1.5482351102359,42.7723298130617,2.6690498518474
0,AmazDigiMu,Full,71.4320359043979,1.6386584944976004,66.2396883403081,0.7707223295177,68.0993397511869,0.48646857965839996,50.7580599287216,2.2154203227254
1,AmazDigiMu,SynD,69.3002985984872,2.5281388595045,63.63931325302531,0.0,70.8544989123242,0.5320086320025,51.21742504962751,4.3283763872619
2,AmazDigiMu,AsyD1,63.7387239823433,1.4937577071674,52.54896405839771,0.0,61.66788700475141,1.2168504862776999,49.333639884926,3.1198747814992
3,AmazDigiMu,AsyD2,58.21498445340241,1.1358143443083,50.21274391239591,0.0,56.3487737069289,1.0350995414713,44.6125665982746,1.6638555131527
0,AmazPantry,Full,71.03060842741621,0.5285163593227,66.1519516547911,0.49771635515609997,68.6194368634398,0.1899685694749,49.035876663837,1.9026054266372001
1,AmazPantry,SynD,69.63361335438701,1.4841867084255,62.226329149148704,0.9879598999125,54.21323135344001,1.3559441804521999,49.1935740869418,2.6503901835961003
2,AmazPantry,AsyD1,68.2110410331037,1.3610062765947002,58.876670779572,0.9212675274286,52.2778407039725,0.9393227557691,47.495893986774504,2.6025317603573
3,AmazPantry,AsyD2,68.1164912415819,2.4879630208647003,57.8349730322391,0.8883417389062,51.024584376097,0.6548333090026,47.421997374408996,2.7965674837109997
0,yelp,Full,61.3659500579893,1.3088405762244002,58.71773218199,0.8427176324761001,51.5459956499991,1.6936732452851,45.3494748964388,1.4469469084334001
1,yelp,SynD,60.270573942644,0.6467274706339,56.50372584927731,0.4332286291816,52.161606132650604,1.5208169826564,43.3970936323255,4.2529229610983
2,yelp,AsyD1,59.2138715136427,1.3438617305346,54.9515511496378,0.8025546854487999,52.4162181975036,0.7605694687409,46.0610966669115,2.4018786161977
3,yelp,AsyD2,60.97370480005221,0.6957016315588,58.464652330894005,0.7323419997765,53.971203334650106,1.4350568453927,45.4719569472477,3.7142022690407996
