,15,5,10,25,20,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,domain
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact_full/bert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact_full/bert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact_full/bert10.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact_full/bert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact_full/bert20.pt,0.356716417910447,0.012699296662737001,0.36208956535749304,0.017542056246875,0.032802923144788006,0.0050702480518530005,Full size
f1,0.387247005662535,0.34887150468856404,0.368427147604573,0.33676751034038505,0.36913465849140603,0.356716417910447,0.012699296662737001,0.36208956535749304,0.017542056246875,0.032802923144788006,0.0050702480518530005,Full size
accuracy,0.35986733001658305,0.34162520729684903,0.37313432835820903,0.34245439469320005,0.366500829187396,0.356716417910447,0.012699296662737001,0.36208956535749304,0.017542056246875,0.032802923144788006,0.0050702480518530005,Full size
loss,47.11983791150545,47.45619844135485,46.79521841751902,47.461620933131165,47.01809381183825,0.356716417910447,0.012699296662737001,0.36208956535749304,0.017542056246875,0.032802923144788006,0.0050702480518530005,Full size
ece-score,0.024725559289577002,0.038069763883429,0.037849723304286,0.033631961934799004,0.029737607311846003,0.356716417910447,0.012699296662737001,0.36208956535749304,0.017542056246875,0.032802923144788006,0.0050702480518530005,Full size
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact/bert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact/bert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact/bert10.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact/bert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact/bert20.pt,0.34356846473029,0.006052973453547001,0.37262225807980504,0.022959845619384002,0.034110455463536006,0.010873886637493,InDomain
f1,0.36157067220104605,0.38819877044667406,0.37105150068375503,0.40479169215063604,0.33749865491691505,0.34356846473029,0.006052973453547001,0.37262225807980504,0.022959845619384002,0.034110455463536006,0.010873886637493,InDomain
accuracy,0.348547717842323,0.336929460580912,0.352697095435684,0.338589211618257,0.34107883817427304,0.34356846473029,0.006052973453547001,0.37262225807980504,0.022959845619384002,0.034110455463536006,0.010873886637493,InDomain
loss,48.0369277753328,47.80713523061652,48.096436751516244,47.833915308902135,47.85403572885614,0.34356846473029,0.006052973453547001,0.37262225807980504,0.022959845619384002,0.034110455463536006,0.010873886637493,InDomain
ece-score,0.024485252383338003,0.024155813727636002,0.047575328681478006,0.047154641843930006,0.027181240681296,0.34356846473029,0.006052973453547001,0.37262225807980504,0.022959845619384002,0.034110455463536006,0.010873886637493,InDomain
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact/bert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact/bert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact/bert10.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact/bert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/extract_rationales/extract_rationales/models/xfact/bert20.pt,0.40680497925311204,0.0063938125424920006,0.368584676883758,0.019374486487123,0.045135923114555006,0.022774104700258,OOD1
f1,0.355053012003395,0.383185457027141,0.367400986522086,0.39583715896603505,0.341446769900136,0.40680497925311204,0.0063938125424920006,0.368584676883758,0.019374486487123,0.045135923114555006,0.022774104700258,OOD1
accuracy,0.40995850622406604,0.40829875518672204,0.40995850622406604,0.39419087136929404,0.41161825726141005,0.40680497925311204,0.0063938125424920006,0.368584676883758,0.019374486487123,0.045135923114555006,0.022774104700258,OOD1
loss,45.45872587906687,45.315261238499694,45.785226922286185,45.69405405144943,46.014888964201276,0.40680497925311204,0.0063938125424920006,0.368584676883758,0.019374486487123,0.045135923114555006,0.022774104700258,OOD1
ece-score,0.07428369855979601,0.044808941510703006,0.009431333141208,0.033659905368361005,0.063495736992705,0.40680497925311204,0.0063938125424920006,0.368584676883758,0.019374486487123,0.045135923114555006,0.022774104700258,OOD1
