,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,Domain,attribute_name,threshold
0,0.33266998341625204,0.005609132512533001,0.290464079050678,0.012991103637075,0.060563184214666006,0.025239132041442004,Full,gradients,topk
1,0.31485477178423205,0.0019355856912340002,0.271976594320741,0.019560578232939,0.026340776226827,0.004021935589402,SynD,gradients,topk
2,0.34157676348547705,0.004347153810359001,0.183306500083277,0.022037558063887002,0.030149977850221003,0.008905750434135001,AsyD1,gradients,topk
3,0.40796680497925303,0.006815092171833,0.24375559660532303,0.01427980741572,0.071422635188241,0.019469784913299003,AsyD2,gradients,topk
0,0.406965174129353,0.010955319777720001,0.35847892390463804,0.022012065295012002,0.050883817134014006,0.016037605678206,Full,deeplift,topk
1,0.325145228215767,0.006831241701993,0.282644914220522,0.050531810775431,0.061116211231318,0.016128919613724,SynD,deeplift,topk
2,0.31950207468879604,0.018444905204060003,0.21436589845844903,0.024224043381822002,0.049491122753293,0.027368023576338003,AsyD1,deeplift,topk
3,0.337261410788381,0.014654765181506001,0.216189964840475,0.029494308606341002,0.04897963583222,0.017885851707261,AsyD2,deeplift,topk
0,0.33067993366500803,0.007255271261766,0.29926101696195,0.041683094955309,0.09298823602361601,0.019306405507804002,Full,scaled_attention,topk
1,0.32082987551867204,0.005544661606137,0.325006359412909,0.016692323246704003,0.038322407640362,0.009012245826640002,SynD,scaled_attention,topk
2,0.38688796680497906,0.008035663692554,0.325632333023884,0.028213811219041002,0.034056430842371005,0.013602655579206,AsyD1,scaled_attention,topk
3,0.40414937759336106,0.013555198001059001,0.30032152354455005,0.025581249661398003,0.053079858498949,0.014608573363536001,AsyD2,scaled_attention,topk
