,kuma-bert20,kuma-bert10,kuma-bert25,kuma-bert5,kuma-bert15,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,domain
model,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert20.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert10.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert25.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert5.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert15.pt,0.22755186721991702,0.023131952053356,0.129235194234465,0.021149865315537003,0.034300224635116006,0.011332425574866,InDomain
f1,0.12186723008844601,0.15923132157730502,0.103960265250587,0.14844998209513102,0.112667172160857,0.22755186721991702,0.023131952053356,0.129235194234465,0.021149865315537003,0.034300224635116006,0.011332425574866,InDomain
accuracy,0.21493775933609902,0.223236514522821,0.273029045643153,0.209958506224066,0.21659751037344402,0.22755186721991702,0.023131952053356,0.129235194234465,0.021149865315537003,0.034300224635116006,0.011332425574866,InDomain
loss,57.20208680002313,57.07802441245631,52.07920034308182,56.90011727182489,58.55174195139032,0.22755186721991702,0.023131952053356,0.129235194234465,0.021149865315537003,0.034300224635116006,0.011332425574866,InDomain
ece-score,0.039117662008867,0.047744585468561,0.013701723398509,0.033109290001303006,0.03782786229834,0.22755186721991702,0.023131952053356,0.129235194234465,0.021149865315537003,0.034300224635116006,0.011332425574866,InDomain
model,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert20.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert10.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert25.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert5.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert15.pt,0.253278008298755,0.05632012434032101,0.12896273013439902,0.014084940470722,0.060119569496989,0.025692306329832004,OOD1
f1,0.13146844019793,0.145071426545463,0.126987945629042,0.13772830433493902,0.10355753396462,0.253278008298755,0.05632012434032101,0.12896273013439902,0.014084940470722,0.060119569496989,0.025692306329832004,OOD1
accuracy,0.251452282157676,0.21991701244813203,0.362655601659751,0.212448132780082,0.21991701244813203,0.253278008298755,0.05632012434032101,0.12896273013439902,0.014084940470722,0.060119569496989,0.025692306329832004,OOD1
loss,57.04356002807617,57.02725681505705,50.6098488255551,56.79012188158537,58.37917869969418,0.253278008298755,0.05632012434032101,0.12896273013439902,0.014084940470722,0.060119569496989,0.025692306329832004,OOD1
ece-score,0.07579727479531001,0.04464098631841,0.103270552316641,0.035849047449119,0.041039986605466004,0.253278008298755,0.05632012434032101,0.12896273013439902,0.014084940470722,0.060119569496989,0.025692306329832004,OOD1
model,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert20.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert10.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert25.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert5.pt,/home/cass/PycharmProjects/extract_rationales/kuma_model/xfact/kuma-bert15.pt,0.26605809128630703,0.08204376192549401,0.128310491713042,0.011437713116505,0.07288417911875701,0.052404141674051004,OOD2
f1,0.144185647655899,0.13084328776557402,0.133723375390042,0.12282873465719402,0.109971413096504,0.26605809128630703,0.08204376192549401,0.128310491713042,0.011437713116505,0.07288417911875701,0.052404141674051004,OOD2
accuracy,0.27883817427385804,0.21742738589211602,0.42074688796680504,0.198340248962655,0.21493775933609902,0.26605809128630703,0.08204376192549401,0.128310491713042,0.011437713116505,0.07288417911875701,0.052404141674051004,OOD2
loss,56.95259254857113,57.0210865422299,49.91057004426655,56.774946112381784,58.295979951557364,0.26605809128630703,0.08204376192549401,0.128310491713042,0.011437713116505,0.07288417911875701,0.052404141674051004,OOD2
ece-score,0.103129299213777,0.042224241341792,0.16162678126972202,0.02164840390326,0.035792169865236,0.26605809128630703,0.08204376192549401,0.128310491713042,0.011437713116505,0.07288417911875701,0.052404141674051004,OOD2
