,Rationales_metrics,attention,deepliftshap,scaled attention,gradientshap,random,lime,gradients,ig,deeplift,Domain,thresholder,mean-f1,Task
0,Sufficiency,0.472363818754602,0.374993807305577,0.5549309448298521,0.393491168498614,0.414981122295475,0.434706151811374,0.502755575430594,0.49284270449812,0.311798075586194,Full size,topk,0.374447641796258,Xfact
1,Comprehensiveness,0.370880046337465,0.253652210484867,0.436745101786008,0.24316737495318,0.244694005030356,0.266033598026941,0.329102413535719,0.333861321177162,0.305083144846983,Full size,topk,0.374447641796258,Xfact
2,AOPC_sufficiency,0.385500866102393,0.326335408271307,0.426590031249757,0.338108250977971,0.344824783570375,0.358357444745352,0.394186322218983,0.395113872809607,0.301810537471898,Full size,topk,0.374447641796258,Xfact
3,AOPC_comprehensiveness,0.280752292141844,0.20066144982357,0.335505766512399,0.196155293030979,0.200412651152308,0.211543513420302,0.270048898546368,0.274976074762526,0.225195839460376,Full size,topk,0.374447641796258,Xfact
4,Sufficiency,0.472363818754602,0.374993807305577,0.5549309448298521,0.393491168498614,0.414981122295475,0.434706151811374,0.502755575430594,0.49284270449812,0.311798075586194,Full size,contigious,0.374447641796258,Xfact
5,Comprehensiveness,0.370880046337465,0.253652210484867,0.436745101786008,0.24316737495318,0.244694005030356,0.266033598026941,0.329102413535719,0.333861321177162,0.305083144846983,Full size,contigious,0.374447641796258,Xfact
6,AOPC_sufficiency,0.385500866102393,0.326335408271307,0.426590031249757,0.338108250977971,0.344824783570375,0.358357444745352,0.394186322218983,0.395113872809607,0.301810537471898,Full size,contigious,0.374447641796258,Xfact
7,AOPC_comprehensiveness,0.280752292141844,0.20066144982357,0.335505766512399,0.196155293030979,0.200412651152308,0.211543513420302,0.270048898546368,0.274976074762526,0.225195839460376,Full size,contigious,0.374447641796258,Xfact
8,Sufficiency,0.5535664003295651,0.488664782334843,0.59154283920848,0.49413829014909,0.518714015445311,0.5245072243670641,0.5180863360342041,0.5209215430220571,0.463708518721437,SynD,topk,0.382289088704925,Xfact
9,Comprehensiveness,0.258887844418678,0.219622265084706,0.384934554856494,0.219405263449137,0.211865256967187,0.239898132548855,0.238275719053914,0.239242812061217,0.260539054952576,SynD,topk,0.382289088704925,Xfact
10,AOPC_sufficiency,0.401144048973855,0.363751905434955,0.455343944861356,0.373281635660289,0.393041833960077,0.405365698144639,0.402470969015415,0.405913022599328,0.355842780274487,SynD,topk,0.382289088704925,Xfact
11,AOPC_comprehensiveness,0.17909664432076,0.156654147077363,0.285998803173338,0.16791699394711,0.174916895779166,0.183807325241694,0.21257603222969,0.207450680192935,0.181756595281955,SynD,topk,0.382289088704925,Xfact
