Rationales_metrics,attention,deepliftshap,scaled attention,gradientshap,random,lime,gradients,ig,deeplift,Domain,thresholder
Sufficiency,0.47236381875460204,0.374993807305577,0.5549309448298521,0.39349116849861404,0.414981122295475,0.434706151811374,0.502755575430594,0.49284270449812007,0.31179807558619405,Full,topk
Comprehensiveness,0.370880046337465,0.253652210484867,0.43674510178600806,0.24316737495318003,0.24469400503035602,0.26603359802694104,0.329102413535719,0.33386132117716205,0.305083144846983,Full,topk
AOPC_sufficiency,0.38550086610239304,0.326335408271307,0.42659003124975703,0.33810825097797104,0.34482478357037505,0.358357444745352,0.39418632221898303,0.395113872809607,0.301810537471898,Full,topk
AOPC_comprehensiveness,0.280752292141844,0.20066144982357,0.33550576651239905,0.196155293030979,0.20041265115230802,0.211543513420302,0.27004889854636804,0.274976074762526,0.22519583946037602,Full,topk
Sufficiency,0.5535664003295651,0.48866478233484306,0.59154283920848,0.49413829014909005,0.518714015445311,0.5245072243670641,0.5180863360342041,0.5209215430220571,0.46370851872143704,SynD,topk
Comprehensiveness,0.258887844418678,0.21962226508470603,0.384934554856494,0.21940526344913702,0.21186525696718703,0.23989813254885503,0.238275719053914,0.23924281206121703,0.260539054952576,SynD,topk
AOPC_sufficiency,0.401144048973855,0.363751905434955,0.45534394486135604,0.37328163566028905,0.393041833960077,0.405365698144639,0.402470969015415,0.40591302259932804,0.355842780274487,SynD,topk
AOPC_comprehensiveness,0.17909664432076,0.156654147077363,0.28599880317333803,0.16791699394711002,0.17491689577916603,0.18380732524169402,0.21257603222969002,0.20745068019293503,0.181756595281955,SynD,topk
Sufficiency,0.616358169943101,0.5657109334218361,0.668906028783223,0.5682626309691861,0.59290242648822,0.5952857915117631,0.586399015974716,0.5994066707544771,0.5853380431530151,AsyD1,topk
Comprehensiveness,0.21033061751088003,0.192697555969208,0.31952009821467403,0.18038951646263301,0.165803007770463,0.184384655360456,0.20649634196816502,0.20519409448957301,0.206259441381501,AsyD1,topk
AOPC_sufficiency,0.436427817903403,0.418772783529524,0.50838329795851,0.42111112373392906,0.441702685949993,0.454140573529269,0.45430735071272305,0.461521742936269,0.43166691142289804,AsyD1,topk
AOPC_comprehensiveness,0.14221029543174302,0.143721126624549,0.240573280740968,0.138234297580297,0.138111485431165,0.14622871979621402,0.174522463135064,0.17095438048067202,0.149767123697843,AsyD1,topk
Sufficiency,0.602000075488576,0.554484758115355,0.6648573250740241,0.560584258194715,0.586893151502993,0.5941897976992431,0.5721511061282251,0.577696902745927,0.5765440146769161,AsyD2,topk
Comprehensiveness,0.180371811434783,0.17240714176069602,0.28470476957906904,0.163218954368362,0.16073704266928002,0.17649219827627602,0.17896170100765202,0.17493718081915602,0.19185278505410103,AsyD2,topk
