,Similarity,Representations,Measure,Rep_Mea,Domain,attribute_name,threshold
0,0.14151467744476035,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),scaled attention,topk
1,25.981627901720938,Term distribution,renyi,Term renyi,In Domain(Baseline),scaled attention,topk
2,0.014115316385794108,Term distribution,cosine,Term cosine,In Domain(Baseline),scaled attention,topk
3,0.013498317478397963,Term distribution,euclidean,Term euclidean,In Domain(Baseline),scaled attention,topk
4,0.6099553077214808,Term distribution,variational,Term variational,In Domain(Baseline),scaled attention,topk
5,0.21309202692014897,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),scaled attention,topk
6,0.0022235277574509382,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),scaled attention,topk
7,0.009713237375029106,Topic distribution,renyi,Topic renyi,In Domain(Baseline),scaled attention,topk
8,0.009010910987854004,Topic distribution,cosine,Topic cosine,In Domain(Baseline),scaled attention,topk
9,0.020055268380258368,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),scaled attention,topk
10,0.11310286819934845,Topic distribution,variational,Topic variational,In Domain(Baseline),scaled attention,topk
11,0.0022326577454805374,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),scaled attention,topk
12,0.17409292089066164,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,scaled attention,topk
13,28.472391019127674,Term distribution,renyi,Term renyi,OOD1,scaled attention,topk
14,0.04634808637370813,Term distribution,cosine,Term cosine,OOD1,scaled attention,topk
15,0.023347738931524576,Term distribution,euclidean,Term euclidean,OOD1,scaled attention,topk
16,0.7629839660795924,Term distribution,variational,Term variational,OOD1,scaled attention,topk
17,0.26440660739875493,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,scaled attention,topk
18,0.005736758932471275,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,scaled attention,topk
19,0.023088372388289143,Topic distribution,renyi,Topic renyi,OOD1,scaled attention,topk
20,0.023575663566589355,Topic distribution,cosine,Topic cosine,OOD1,scaled attention,topk
21,0.03201984913709727,Topic distribution,euclidean,Topic euclidean,OOD1,scaled attention,topk
22,0.16401328146457672,Topic distribution,variational,Topic variational,OOD1,scaled attention,topk
23,0.0057818228378891945,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,scaled attention,topk
24,0.19481341274004618,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,scaled attention,topk
25,30.01918537900554,Term distribution,renyi,Term renyi,OOD2,scaled attention,topk
26,0.037817251686607656,Term distribution,cosine,Term cosine,OOD2,scaled attention,topk
27,0.020999361827106402,Term distribution,euclidean,Term euclidean,OOD2,scaled attention,topk
28,0.798868798189408,Term distribution,variational,Term variational,OOD2,scaled attention,topk
29,0.30494498001414805,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,scaled attention,topk
30,0.005109270103275776,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,scaled attention,topk
31,0.021308996542102117,Topic distribution,renyi,Topic renyi,OOD2,scaled attention,topk
32,0.020442545413970947,Topic distribution,cosine,Topic cosine,OOD2,scaled attention,topk
33,0.02955343438913225,Topic distribution,euclidean,Topic euclidean,OOD2,scaled attention,topk
34,0.15638141334056854,Topic distribution,variational,Topic variational,OOD2,scaled attention,topk
35,0.005142537411302328,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,scaled attention,topk
36,0.11846150589280346,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),attention,topk
37,20.540544029310542,Term distribution,renyi,Term renyi,In Domain(Baseline),attention,topk
38,0.0014153024780242385,Term distribution,cosine,Term cosine,In Domain(Baseline),attention,topk
39,0.012931981900477745,Term distribution,euclidean,Term euclidean,In Domain(Baseline),attention,topk
40,0.5062544815112232,Term distribution,variational,Term variational,In Domain(Baseline),attention,topk
41,0.17527459039474133,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),attention,topk
42,0.0032832841388881207,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),attention,topk
43,0.01464762011234137,Topic distribution,renyi,Topic renyi,In Domain(Baseline),attention,topk
44,0.013972818851470947,Topic distribution,cosine,Topic cosine,In Domain(Baseline),attention,topk
