,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,Domain,attribute_name,threshold
0,0.569789227166276,0.005963855540162001,0.453494748964388,0.014469469084334,0.042888514802243004,0.016874351051639,Full,gradients,topk
1,0.505971896955503,0.019591812168281,0.433970936323255,0.042529229610983,0.062392904516963006,0.041546070445296006,SynD,gradients,topk
2,0.6399297423887581,0.036318647351922,0.46061096666911505,0.024018786161977,0.073000770398967,0.033400332446523004,AsyD1,gradients,topk
3,0.6374707259953161,0.033085375969022,0.45471956947247705,0.037142022690408005,0.073466198694231,0.032721412430788,AsyD2,gradients,topk
0,0.627751756440281,0.005014663490717001,0.515459956499991,0.016936732452851003,0.059340665403936003,0.017880394954197,Full,deeplift,topk
1,0.565456674473067,0.010224299743767,0.5216160613265061,0.015208169826564002,0.10905043889683301,0.021755021420867,SynD,deeplift,topk
2,0.676229508196721,0.020365956827782,0.5241621819750361,0.007605694687409001,0.062550299183685,0.016199722891991,AsyD1,deeplift,topk
3,0.68255269320843,0.022616210127415003,0.5397120333465011,0.014350568453927001,0.06075342073164101,0.014223959794743002,AsyD2,deeplift,topk
0,0.6555035128805621,0.0056595063108170005,0.5871773218199,0.008427176324761,0.037537408750984005,0.012945541914823002,Full,scaled attention,topk
1,0.602107728337236,0.004648579213414001,0.5650372584927731,0.0043322862918160005,0.09376998157949301,0.006504496721057001,SynD,scaled attention,topk
2,0.6996487119437931,0.012611627182984001,0.549515511496378,0.008025546854488001,0.074202993299279,0.011256127420810001,AsyD1,scaled attention,topk
3,0.716042154566744,0.010147570980465,0.5846465233089401,0.007323419997765,0.06854551119393901,0.006825770547597001,AsyD2,scaled attention,topk
