,Similarity,Representations,Measure,Rep_Mea,Domain
0,0.04804829857060779,Term distribution,jensen-shannon,Term jensen-shannon,OOD1
1,6.496152685015488,Term distribution,renyi,Term renyi,OOD1
2,0.008467324466466586,Term distribution,cosine,Term cosine,OOD1
3,0.012023907287897243,Term distribution,euclidean,Term euclidean,OOD1
4,0.3314186299525064,Term distribution,variational,Term variational,OOD1
5,0.06426856993459862,Term distribution,bhattacharyya,Term bhattacharyya,OOD1
6,0.0423729382455349,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1
7,0.18285822390787224,Topic distribution,renyi,Topic renyi,OOD1
8,0.05627083778381348,Topic distribution,cosine,Topic cosine,OOD1
9,0.20343699636669227,Topic distribution,euclidean,Topic euclidean,OOD1
10,0.4958152770996094,Topic distribution,variational,Topic variational,OOD1
11,0.0440467894077301,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1
12,0.04948055457130515,Term distribution,jensen-shannon,Term jensen-shannon,OOD2
13,6.661669703100594,Term distribution,renyi,Term renyi,OOD2
14,0.007624853411965504,Term distribution,cosine,Term cosine,OOD2
15,0.011375456892825875,Term distribution,euclidean,Term euclidean,OOD2
16,0.33218320414321073,Term distribution,variational,Term variational,OOD2
17,0.06626171096175247,Term distribution,bhattacharyya,Term bhattacharyya,OOD2
18,0.04013757035136223,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2
19,0.17237700647689544,Topic distribution,renyi,Topic renyi,OOD2
20,0.06064122915267944,Topic distribution,cosine,Topic cosine,OOD2
21,0.20318973335590243,Topic distribution,euclidean,Topic euclidean,OOD2
22,0.46936535835266113,Topic distribution,variational,Topic variational,OOD2
23,0.04167982190847397,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2
