,Rationales_metrics,deepliftshap,attention,random,scaled attention,gradientshap,gradients,lime,ig,deeplift,Domain,thresholder,mean-f1,Task
0,Sufficiency,0.137786039385215,0.298275259050923,0.13795341167866,0.5984550511031961,0.132468691221419,0.27955202988996,0.161224911430697,0.261050930293482,0.156102893867733,Full size,topk,0.613659500579893,Yelp
1,Comprehensiveness,0.296660431616349,0.510102010585885,0.281685974313277,0.7533949172922081,0.282955183340718,0.505627888820098,0.221441498457267,0.504293702874511,0.296145398686267,Full size,topk,0.613659500579893,Yelp
2,AOPC_sufficiency,0.153491782069191,0.258231648117494,0.149287371645867,0.385820492334494,0.147286156820664,0.242406361170915,0.144581164726382,0.238949179355415,0.173447082675949,Full size,topk,0.613659500579893,Yelp
3,AOPC_comprehensiveness,0.238838884151156,0.357073649602169,0.228253531806036,0.518198138889806,0.231484925420267,0.374595399398381,0.174553149520573,0.366970219304439,0.257455216389443,Full size,topk,0.613659500579893,Yelp
4,Sufficiency,0.137786039385215,0.298275259050923,0.13795341167866,0.5984550511031961,0.132468691221419,0.27955202988996,0.161224911430697,0.261050930293482,0.156102893867733,Full size,contigious,0.613659500579893,Yelp
5,Comprehensiveness,0.296660431616349,0.510102010585885,0.281685974313277,0.7533949172922081,0.282955183340718,0.505627888820098,0.221441498457267,0.504293702874511,0.296145398686267,Full size,contigious,0.613659500579893,Yelp
6,AOPC_sufficiency,0.153491782069191,0.258231648117494,0.149287371645867,0.385820492334494,0.147286156820664,0.242406361170915,0.144581164726382,0.238949179355415,0.173447082675949,Full size,contigious,0.613659500579893,Yelp
7,AOPC_comprehensiveness,0.238838884151156,0.357073649602169,0.228253531806036,0.518198138889806,0.231484925420267,0.374595399398381,0.174553149520573,0.366970219304439,0.257455216389443,Full size,contigious,0.613659500579893,Yelp
8,Sufficiency,0.254668461303684,0.459841304884714,0.220365274428341,0.655606810215001,0.20373241059357,0.351029845611654,0.226377924406149,0.343092341986359,0.313019671894297,SynD,topk,0.60270573942644,Yelp
9,Comprehensiveness,0.289171893667266,0.498524054788924,0.263326219991466,0.7330600328002681,0.257506303417247,0.451068536290414,0.227195966275293,0.455889975257705,0.359208470021649,SynD,topk,0.60270573942644,Yelp
10,AOPC_sufficiency,0.229714751364755,0.331090113517426,0.205801722339266,0.444276384475594,0.198233585689666,0.28316699302752,0.195508827664558,0.282252039189447,0.267416866278955,SynD,topk,0.60270573942644,Yelp
11,AOPC_comprehensiveness,0.223281420072943,0.354748599798449,0.202083723566342,0.508606397916962,0.19928158208602,0.333414802379696,0.171312336540973,0.334994628943973,0.270499667733167,SynD,topk,0.60270573942644,Yelp
