Rationales_metrics,deepliftshap,attention,random,scaled attention,gradientshap,gradients,lime,ig,deeplift,Domain,thresholder
Sufficiency,0.137786039385215,0.298275259050923,0.13795341167866002,0.5984550511031961,0.13246869122141902,0.27955202988996003,0.161224911430697,0.26105093029348203,0.15610289386773302,Full size,topk
Comprehensiveness,0.29666043161634903,0.510102010585885,0.281685974313277,0.7533949172922081,0.282955183340718,0.505627888820098,0.22144149845726702,0.504293702874511,0.29614539868626705,Full size,topk
AOPC_sufficiency,0.153491782069191,0.258231648117494,0.149287371645867,0.385820492334494,0.147286156820664,0.24240636117091502,0.14458116472638202,0.23894917935541501,0.17344708267594902,Full size,topk
AOPC_comprehensiveness,0.238838884151156,0.35707364960216903,0.22825353180603603,0.518198138889806,0.23148492542026702,0.37459539939838105,0.17455314952057302,0.366970219304439,0.257455216389443,Full size,topk
Sufficiency,0.25466846130368404,0.45984130488471403,0.22036527442834103,0.655606810215001,0.20373241059357003,0.351029845611654,0.226377924406149,0.343092341986359,0.313019671894297,SynD,topk
Comprehensiveness,0.28917189366726603,0.49852405478892403,0.263326219991466,0.7330600328002681,0.257506303417247,0.45106853629041405,0.227195966275293,0.455889975257705,0.359208470021649,SynD,topk
AOPC_sufficiency,0.22971475136475503,0.331090113517426,0.20580172233926602,0.44427638447559403,0.198233585689666,0.28316699302752,0.19550882766455802,0.282252039189447,0.267416866278955,SynD,topk
AOPC_comprehensiveness,0.22328142007294302,0.354748599798449,0.20208372356634202,0.508606397916962,0.19928158208602,0.333414802379696,0.17131233654097303,0.334994628943973,0.270499667733167,SynD,topk
Sufficiency,0.23008349399350603,0.43009126077146104,0.190819909877624,0.6429580647173271,0.17184185157442602,0.37929612615841,0.16882870988224102,0.37390314034492506,0.295479671582476,AsyD1,topk
Comprehensiveness,0.327273821379151,0.516754938135901,0.285612620492326,0.7515848148361851,0.293152582415438,0.513968982213979,0.25239292269526803,0.522363985777217,0.425180985157641,AsyD1,topk
AOPC_sufficiency,0.20638647010538602,0.30583000909296604,0.180158811664956,0.43076120710918103,0.17341363079357203,0.284524273725738,0.153068322454177,0.28719621740141205,0.25080715650858004,AsyD1,topk
AOPC_comprehensiveness,0.24675818650229103,0.36091787573259404,0.222866565789224,0.511931123304873,0.22082540778522503,0.372032711486873,0.18604367945714,0.37570563501999704,0.309322872367899,AsyD1,topk
Sufficiency,0.22572300148839702,0.43248594336041,0.185523757018202,0.657295276475877,0.172977727529588,0.383030399575835,0.18137643578928803,0.38710615926166103,0.29385751585861203,AsyD2,topk
Comprehensiveness,0.32315381392881704,0.514900853733901,0.29693224019083303,0.7529328092612421,0.28491428207741704,0.511994536598763,0.24910190059491502,0.5192853460775511,0.40296270990730404,AsyD2,topk
AOPC_sufficiency,0.204178182112143,0.305217279748482,0.18104385634921502,0.43242130724229505,0.17257671687949,0.289350340828095,0.159539832207808,0.29156248472518803,0.24542883423951303,AsyD2,topk
AOPC_comprehensiveness,0.24250183171345602,0.36353508870646,0.22746356397903902,0.515423400007072,0.21690378544042502,0.37129934566850703,0.18200976587254,0.37526928428390305,0.29769249403339704,AsyD2,topk
Sufficiency,0.137786039385215,0.298275259050923,0.13795341167866002,0.5984550511031961,0.13246869122141902,0.27955202988996003,0.161224911430697,0.26105093029348203,0.15610289386773302,Full size,contigious
Comprehensiveness,0.29666043161634903,0.510102010585885,0.281685974313277,0.7533949172922081,0.282955183340718,0.505627888820098,0.22144149845726702,0.504293702874511,0.29614539868626705,Full size,contigious
AOPC_sufficiency,0.153491782069191,0.258231648117494,0.149287371645867,0.385820492334494,0.147286156820664,0.24240636117091502,0.14458116472638202,0.23894917935541501,0.17344708267594902,Full size,contigious
AOPC_comprehensiveness,0.238838884151156,0.35707364960216903,0.22825353180603603,0.518198138889806,0.23148492542026702,0.37459539939838105,0.17455314952057302,0.366970219304439,0.257455216389443,Full size,contigious
Sufficiency,0.25466846130368404,0.45984130488471403,0.22036527442834103,0.655606810215001,0.20373241059357003,0.351029845611654,0.226377924406149,0.343092341986359,0.313019671894297,SynD,contigious
Comprehensiveness,0.28917189366726603,0.49852405478892403,0.263326219991466,0.7330600328002681,0.257506303417247,0.45106853629041405,0.227195966275293,0.455889975257705,0.359208470021649,SynD,contigious
AOPC_sufficiency,0.22971475136475503,0.331090113517426,0.20580172233926602,0.44427638447559403,0.198233585689666,0.28316699302752,0.19550882766455802,0.282252039189447,0.267416866278955,SynD,contigious
AOPC_comprehensiveness,0.22328142007294302,0.354748599798449,0.20208372356634202,0.508606397916962,0.19928158208602,0.333414802379696,0.17131233654097303,0.334994628943973,0.270499667733167,SynD,contigious
Sufficiency,0.23008349399350603,0.43009126077146104,0.190819909877624,0.6429580647173271,0.17184185157442602,0.37929612615841,0.16882870988224102,0.37390314034492506,0.295479671582476,AsyD1,contigious
Comprehensiveness,0.327273821379151,0.516754938135901,0.285612620492326,0.7515848148361851,0.293152582415438,0.513968982213979,0.25239292269526803,0.522363985777217,0.425180985157641,AsyD1,contigious
AOPC_sufficiency,0.20638647010538602,0.30583000909296604,0.180158811664956,0.43076120710918103,0.17341363079357203,0.284524273725738,0.153068322454177,0.28719621740141205,0.25080715650858004,AsyD1,contigious
